study_ID,long_cite,short_cite,doi,peer_reviewed,original_ma,coder,expt_num,expt_condition,response_mode,exposure_phase,method,dependent_measure,between_participant,participant_design,same_infant,native_lang,infant_type,group_name_1,group_name_2,n_1,n_2,mean_age_1,mean_age_2,x_1,x_2,SD_1,SD_2,t,F,d,d_var,r,corr,age_range_1,age_range_2,n_excluded_1,n_excluded_2,gender_1,gender_2,num_trials,mean_vocab,method_secondary,stim_language,contrast,type,speaker_fam,speaker_experience,speaker_female,speaker,presentation,setting,speech_type,trial_control,test_lang,main_question_IDS_preference,My comments
Droucker2013,"Droucker, D., Curtin, S. & Vouloumanos, A. (2013). Linking Infant-Directed Speech and Face Preferences to Language Outcomes in Infants at Risk for Autism Spectrum Disorder. Journal of Speech, Language and Hearing Research. 56, 567-576.",Droucker et al. (2013),,yes,no,Alvaro Iturralde,1,sampleA_12mos,eye-tracking,familiarization,CF,looking_time,0,within_two,Droucker2013_1_sampleA,Canadian English,typical,NA,NA,22,NA,365,NA,20.86,19.5,5.34,5.85,1.97,NA,NA,NA,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amount of time looking to a face or a checkboraddisplay while listening to ADS or IDS,English,main,Infant directed and adult directed speech,0,1,1,Unfamiliar female,Tape recording,Laboratory,Simulated,fixed_length,native,yes,
Droucker2013,"Droucker, D., Curtin, S. & Vouloumanos, A. (2013). Linking Infant-Directed Speech and Face Preferences to Language Outcomes in Infants at Risk for Autism Spectrum Disorder. Journal of Speech, Language and Hearing Research. 56, 567-576.",Droucker et al. (2013),,yes,no,Alvaro Iturralde,1,sampleA_18mos,eye-tracking,familiarization,CF,looking_time,0,within_two,Droucker2013_1_sampleA,Canadian English,typical,NA,NA,22,NA,548,NA,19.3,15.74,6.96,6.71,2.49,NA,NA,NA,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amount of time looking to a face or a checkboraddisplay while listening to ADS or IDS,English,main,Infant directed and adult directed speech,0,1,1,Unfamiliar female,Tape recording,Laboratory,Simulated,fixed_length,native,yes,
Droucker2013,"Droucker, D., Curtin, S. & Vouloumanos, A. (2013). Linking Infant-Directed Speech and Face Preferences to Language Outcomes in Infants at Risk for Autism Spectrum Disorder. Journal of Speech, Language and Hearing Research. 56, 567-576.",Droucker et al. (2013),,yes,no,Alvaro Iturralde,1,sampleB_12mos,eye-tracking,familiarization,CF,looking_time,0,within_two,Droucker2013_1_sampleB,Canadian English,AD_risk,NA,NA,14,NA,365,NA,20.83,18.91,7.35,5.85,1.9,NA,NA,NA,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amount of time looking to a face or a checkboraddisplay while listening to ADS or IDS,English,main,Infant directed and adult directed speech,0,1,1,Unfamiliar female,Tape recording,Laboratory,Simulated,fixed_length,native,yes,
Droucker2013,"Droucker, D., Curtin, S. & Vouloumanos, A. (2013). Linking Infant-Directed Speech and Face Preferences to Language Outcomes in Infants at Risk for Autism Spectrum Disorder. Journal of Speech, Language and Hearing Research. 56, 567-576.",Droucker et al. (2013),,yes,no,Alvaro Iturralde,1,sampleB_18mos,eye-tracking,familiarization,CF,looking_time,0,within_two,Droucker2013_1_sampleB,Canadian English,AD_risk,NA,NA,14,NA,548,NA,25.01,20.02,7.09,7.27,2.77,NA,NA,NA,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amount of time looking to a face or a checkboraddisplay while listening to ADS or IDS,English,main,Infant directed and adult directed speech,0,1,1,Unfamiliar female,Tape recording,Laboratory,Simulated,fixed_length,native,yes,
Fernald1985,"Fernald A. (1985). Four-month-old infants prefer to listen to motherese*. Infant Behavior and Development. 8(2), 181-195. ",Fernald (1985),doi.org/10.1016/S0163-6383(85)80005-9,yes,yes,Alex Cristia,1,NA,behavior,conditioning,CHT,target_selection,0,within_two,Fernald1985,American English,typical,NA,NA,48,NA,123,NA,NA,NA,NA,NA,NA,NA,0.65,0.043867188,,NA,10,NA,NA,NA,0.4375,NA,NA,NA,Number of trials in which head turn was in the direction required to produce  either IDS or ADS,English,component,Infant directed and adult directed speech,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Naturalistic,infant_controlled,native,yes,"I find the age ranges suspect, (why do they go up 1 day exactly with each experiment)"
Fernald1987,"Fernald A. & Kuhl, P. (1987). Acoustic determinants of infant preference for motherese speech. Infant Behavior and Development. 10(2), 279-293. ",Fernald & Kuhl (1987),10.1016/0163-6383(87)90017-8,yes,yes,Alex Cristia,1,NA,behavior,conditioning,CHT,target_selection,0,within_two,Fernald1987_1,American English,typical,NA,NA,20,NA,124,NA,NA,NA,NA,NA,NA,NA,1.54,0.129645,,NA,10,NA,NA,NA,0.45,NA,NA,NA,Number of trials  in which head turn was in the direction required to produce  either IDS or ADS,English,component,Computer synthesized infant directed and adult directed fundamental frequency contours,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Synthesized,infant_controlled,native,yes,
Fernald1987,"Fernald A. & Kuhl, P. (1987). Acoustic determinants of infant preference for motherese speech. Infant Behavior and Development. 10(2), 279-293. ",Fernald & Kuhl (1987),10.1016/0163-6383(87)90017-8,yes,yes,Alex Cristia,2,NA,behavior,conditioning,CHT,target_selection,0,within_two,Fernald1987_2,American English,typical,NA,NA,20,NA,122,NA,NA,NA,NA,NA,NA,NA,0,0.1,,NA,10,NA,NA,NA,0.5,NA,NA,NA,Number of trials  in which head turn was in the direction required to produce either IDS or ADS,English,component,Computer synthesized infant directed and adult directed amplitude values,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Synthesized,infant_controlled,native,yes,
Fernald1987,"Fernald A. & Kuhl, P. (1987). Acoustic determinants of infant preference for motherese speech. Infant Behavior and Development. 10(2), 279-293. ",Fernald & Kuhl (1987),10.1016/0163-6383(87)90017-8,yes,yes,Alex Cristia,3,NA,behavior,conditioning,CHT,target_selection,0,within_two,Fernald1987_3,American English,typical,NA,NA,20,NA,125,NA,NA,NA,NA,NA,NA,NA,0.8,0.108,,NA,6,NA,NA,NA,0.5,NA,NA,NA,Number of trials  in which head turn was in the direction required to produce either IDS or ADS,English,component,Computer synthesized infant directed and adult directed duration characteristics,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Synthesized,infant_controlled,native,yes,
Glenn1983,"Glenn, S. M. & Cunningham C. C. (1983). What do babies listen to most? A developmental study of auditory preferences in nonhandicapped infants and infants with Down's syndrome. Developmental Psychology, Vol 19(3), 332-337. http://dx.doi.org/10.1037/0012-1649.19.3.332",Glenn & Cunningham (1983),10.1037/0012-1649.19.3.332,yes,yes,Alex Cristia,1,sample2,behavior,conditioning,FC,target_selection,0,within_two,Glenn1983_1_sample2,British English,down_syndrome,NA,NA,10,NA,372,NA,NA,NA,NA,NA,NA,NA,2.56,0.36384,,NA,NA,NA,NA,NA,0.5,NA,NA,NA,Amount of time child choose to listen to either IDS or ADS by activating a manipulanda,English,main,Infant directed and adult directed speech,0,1,1,Child’s mother,Tape recording,Home,Naturalistic,infant_controlled,native,yes,372 days is the mental age - probably replace with chronological??
Glenn1983,"Glenn, S. M. & Cunningham C. C. (1983). What do babies listen to most? A developmental study of auditory preferences in nonhandicapped infants and infants with Down's syndrome. Developmental Psychology, Vol 19(3), 332-337. http://dx.doi.org/10.1037/0012-1649.19.3.332",Glenn & Cunningham (1983),10.1037/0012-1649.19.3.332,yes,yes,Alex Cristia,1,sample1,behavior,conditioning,FC,target_selection,0,within_two,Glenn1983_1_sample1,British English,typical,NA,NA,10,NA,279,NA,NA,NA,NA,NA,NA,NA,2.39,0.3428025,,NA,NA,NA,NA,NA,0.5,NA,NA,NA,Amount of time child choose to listen to either IDS or ADS by activating a manipulanda,English,main,Infant directed and adult directed speech,0,1,1,Child’s mother,Tape recording,Home,Naturalistic,infant_controlled,native,yes,what happened with phase 1/study 1??
Hayashi2001,"Hayashi, A.; Tamekawa, Y. & Kiritani, S. (2001). Developmental Change in Auditory Preferences for Speech Stimuli in Japanese Infants. Journal of Speech, Language and Hearing Research. 44, 1189-1200.",Hayashi et al. (2001),,yes,no,Alvaro Iturralde,2,SampleA,behavior,familiarization,HPP,looking_time,0,within_two,Hayashi2001_2_SampleA,Japanese,typical,NA,NA,24,NA,167,NA,11.48,8.87,3.4,3.34,5.6,NA,NA,NA,NA,NA,85,NA,7,NA,0.39,NA,16,NA,,Japanese,main,Infant directed and adult directed speech,0,1,1,Unfamiliar female,Tape recording,Laboratory,Naturalistic,infant_controlled,native,yes,
Hayashi2001,"Hayashi, A.; Tamekawa, Y. & Kiritani, S. (2001). Developmental Change in Auditory Preferences for Speech Stimuli in Japanese Infants. Journal of Speech, Language and Hearing Research. 44, 1189-1200.",Hayashi et al. (2001),,yes,no,Alvaro Iturralde,2,SampleB,behavior,familiarization,HPP,looking_time,0,within_two,Hayashi2001_2_SampleB,Japanese,typical,NA,NA,31,NA,257.5,NA,8.96,8.71,2.91,2.6,0.37,NA,NA,NA,NA,NA,93,NA,6,NA,0.39,NA,16,NA,,Japanese,main,Infant directed and adult directed speech,0,1,1,Unfamiliar female,Tape recording,Laboratory,Naturalistic,infant_controlled,native,yes,
Hayashi2001,"Hayashi, A.; Tamekawa, Y. & Kiritani, S. (2001). Developmental Change in Auditory Preferences for Speech Stimuli in Japanese Infants. Journal of Speech, Language and Hearing Research. 44, 1189-1200.",Hayashi et al. (2001),,yes,no,Alvaro Iturralde,2,SampleC,behavior,familiarization,HPP,looking_time,0,within_two,Hayashi2001_2_SampleC,Japanese,typical,NA,NA,34,NA,377,NA,10.66,6.95,3.05,2.26,8.33,NA,NA,NA,NA,NA,144,NA,6,NA,0.39,NA,16,NA,,Japanese,main,Infant directed and adult directed speech,0,1,1,Unfamiliar female,Tape recording,Laboratory,Naturalistic,infant_controlled,native,yes,
Inoe2011,"Inoe, T.; Nakagawa, R.; Kondou, M.; Koga, T. & Shinohara, K. (2011). Discrimination between mothers’ infant- and adult-directed speech using hidden Markov models. Neuroscience Research. 70(1), 62-70.",Inoe et al. (2011),,yes,no,Alvaro Iturralde,3,SampleA,behavior,familiarization,HPP,looking_time,0,within_two,Inoe2011_3_SampleA,Japanese,typical,High MLS,NA,17,NA,244,NA,4.12,3.97,0.247386338,0.371079506,NA,NA,NA,NA,0.24,NA,61,NA,4,NA,0.41,NA,13,NA,High MLS in ADS and IDS,Japanese,main,Infant directed and adult directed speech,0,1,1,Unfamiliar female,Tape recording,Laboratory,Naturalistic,infant_controlled,native,yes,
Inoe2011,"Inoe, T.; Nakagawa, R.; Kondou, M.; Koga, T. & Shinohara, K. (2011). Discrimination between mothers’ infant- and adult-directed speech using hidden Markov models. Neuroscience Research. 70(1), 62-70.",Inoe et al. (2011),,yes,no,Alvaro Iturralde,3,SampleB,behavior,familiarization,HPP,looking_time,0,within_two,Inoe2011_3_SampleB,Japanese,typical,Low MLS,NA,17,NA,255,NA,3.78,3.71,0.12,0.15,NA,NA,NA,NA,0.06,NA,61,NA,3,NA,0.235,NA,13,NA,Low MLS in ADS and IDS,Japanese,main,Infant directed and adult directed speech,0,1,1,Unfamiliar female,Tape recording,Laboratory,Naturalistic,infant_controlled,native,yes,
Kaplan1995a,"Kaplan, P. S., Goldstein, M. H., Huckeby, E. R., & Cooper, R. P. (1995). Habituation, sensitization, and infants' responses to motherese speech. Developmental Psychobiology, 28, 45-57.",Kaplan et al. (1995a),10.1002/dev.420280105,yes,yes,Alex Cristia,1,a,eye-tracking,test_only,CF,looking_time,1,between,Kaplan1995a_1_a,American English,typical,NA,NA,38,39,124,NA,NA,NA,NA,NA,NA,NA,0.76,0.056431579,,NA,28,NA,NA,NA,NA,NA,NA,NA,Amount of time looking at checkerboard while listening to either IDS or ADS,English,main,Spontaneous and previously recorded infant directed speech and adult directed speech,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Simulated,infant_controlled,native,yes,
Kaplan1995a,"Kaplan, P. S., Goldstein, M. H., Huckeby, E. R., & Cooper, R. P. (1995). Habituation, sensitization, and infants' responses to motherese speech. Developmental Psychobiology, 28, 45-57.",Kaplan et al. (1995a),10.1002/dev.420280105,yes,yes,Alex Cristia,2,a,eye-tracking,test_only,CF,looking_time,0,within_two,Kaplan1995a_2_a,American English,typical,NA,NA,26,NA,126,NA,NA,NA,NA,NA,NA,NA,0.82,0.083388462,,NA,27,NA,NA,NA,NA,NA,NA,NA,Amount of time looking at checkerboard while listening to alternating IDS and ADS with either IDS heard first or ADS  heard first,English,main,Infant directed and adult directed speech,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,infant_controlled,native,yes,
Kaplan1995b,"Kaplan, P. S., Goldstein, M. H., Huckeby, E. R., Owren, M. J., & Cooper, R. P. (1995). Dishabituation of visual attention by infant- versus adult-directed speech: Effects of frequency modulation and spectral composition. Infant Behavior and Development, 18, 209-223. ",Kaplan et al. (1995b),10.1016/0163-6383(95)90050-0,yes,yes,Alex Cristia,1,after_9th_trial,eye-tracking,familiarization,CF,looking_time,1,between,Kaplan1995b_1_after_9th_trial,American English,typical,NA,NA,15,15,124,NA,NA,NA,NA,NA,NA,NA,0.44,0.13656,,NA,15,NA,NA,NA,0.6,NA,NA,NA,Amount of time looking at check pattern before hearing either IDS or ADS ,English,main,Spontaneous infant directed speech and adult directed speech,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Simulated,fixed_length,native,no,NB change in condition name across appendices; repeated measures is before & after
Kaplan1995b,"Kaplan, P. S., Goldstein, M. H., Huckeby, E. R., Owren, M. J., & Cooper, R. P. (1995). Dishabituation of visual attention by infant- versus adult-directed speech: Effects of frequency modulation and spectral composition. Infant Behavior and Development, 18, 209-223. ",Kaplan et al. (1995b),10.1016/0163-6383(95)90050-0,yes,yes,Alex Cristia,1,after_10th_trial,eye-tracking,familiarization,CF,looking_time,1,between,Kaplan1995b_1_after_10th_trial,American English,typical,NA,NA,15,15,124,NA,NA,NA,NA,NA,NA,NA,0.88,0.14624,,NA,15,NA,NA,NA,0.6,NA,NA,NA,Amount of time looking at check pattern after hearing either IDS or ADS speech ,English,main,Spontaneous infant directed speech and adult directed speech,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Simulated,fixed_length,native,no,NB change in condition name across appendices; repeated measures is before & after
Kaplan1995b,"Kaplan, P. S., Goldstein, M. H., Huckeby, E. R., Owren, M. J., & Cooper, R. P. (1995). Dishabituation of visual attention by infant- versus adult-directed speech: Effects of frequency modulation and spectral composition. Infant Behavior and Development, 18, 209-223. ",Kaplan et al. (1995b),10.1016/0163-6383(95)90050-0,yes,yes,Alex Cristia,2,after_9th_trial,eye-tracking,familiarization,CF,looking_time,1,between,Kaplan1995b_2_after_9th_trial,American English,typical,NA,NA,20,20,121,NA,NA,NA,NA,NA,NA,NA,0.14,0.100245,,NA,17,NA,NA,NA,0.55,NA,NA,NA,Amount of time looking at check pattern before hearing either IDS or ADS ,English,main,Infant directed and adult directed speech,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,fixed_length,native,no,NB change in condition name across appendices; repeated measures is before & after
Kaplan1995b,"Kaplan, P. S., Goldstein, M. H., Huckeby, E. R., Owren, M. J., & Cooper, R. P. (1995). Dishabituation of visual attention by infant- versus adult-directed speech: Effects of frequency modulation and spectral composition. Infant Behavior and Development, 18, 209-223. ",Kaplan et al. (1995b),10.1016/0163-6383(95)90050-0,yes,yes,Alex Cristia,2,after_10th_trial,eye-tracking,familiarization,CF,looking_time,1,between,Kaplan1995b_2_after_10th_trial,American English,typical,NA,NA,20,20,121,NA,NA,NA,NA,NA,NA,NA,0.36,0.10162,,NA,17,NA,NA,NA,0.55,NA,NA,NA,Amount of time looking at check after hearing either IDS or ADS ,English,main,Infant directed and adult directed speech,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,fixed_length,native,no,NB change in condition name across appendices; repeated measures is before & after
Newman2006,"Newman, R.S. & Hussain, I. (2006). Changes in Preference for Infant-Directed Speech in Low and Moderate Noise by 4.5- to 13-Month-Olds. Infancy. 10(1), 61-76.",Newman & Hussain (2006),10.1207/s15327078in1001_4,yes,no,Alvaro Iturralde,1,silent,behavior,familiarization,HPP,looking_time,0,within_two,Newman2006_1_4.5m.o.,American English,typical,4.5 months old,NA,30,NA,131,NA,10.45,10,0.5,0.5,NA,NA,NA,NA,NA,NA,70,NA,18,NA,0.4,NA,20,NA,No background noise,English,main,Infant directed and adult directed speech,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,infant_controlled,native,yes,
Newman2006,"Newman, R.S. & Hussain, I. (2006). Changes in Preference for Infant-Directed Speech in Low and Moderate Noise by 4.5- to 13-Month-Olds. Infancy. 10(1), 61-76.",Newman & Hussain (2006),10.1207/s15327078in1001_5,yes,no,Alvaro Iturralde,1,background_noise,behavior,familiarization,HPP,looking_time,0,within_two,Newman2006_1_4.5m.o.,American English,typical,4.5 months old,NA,30,NA,131,NA,9.9,8.7,0.6,0.55,NA,NA,NA,NA,NA,NA,70,NA,18,NA,0.4,NA,20,NA,With ADS noise,English,main,Infant directed and adult directed speech,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,infant_controlled,native,yes,
Newman2006,"Newman, R.S. & Hussain, I. (2006). Changes in Preference for Infant-Directed Speech in Low and Moderate Noise by 4.5- to 13-Month-Olds. Infancy. 10(1), 61-76.",Newman & Hussain (2006),10.1207/s15327078in1001_6,yes,no,Alvaro Iturralde,1,silent,behavior,familiarization,HPP,looking_time,0,within_two,Newman2006_1_9m.o.,American English,typical,9 months old,NA,30,NA,271,NA,7,6.8,0.55,0.55,NA,NA,NA,NA,NA,NA,52,NA,17,NA,0.4,NA,20,NA,No background noise,English,main,Infant directed and adult directed speech,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,infant_controlled,native,yes,
Newman2006,"Newman, R.S. & Hussain, I. (2006). Changes in Preference for Infant-Directed Speech in Low and Moderate Noise by 4.5- to 13-Month-Olds. Infancy. 10(1), 61-76.",Newman & Hussain (2006),10.1207/s15327078in1001_7,yes,no,Alvaro Iturralde,1,background_noise,behavior,familiarization,HPP,looking_time,0,within_two,Newman2006_1_9m.o.,American English,typical,9 months old,NA,30,NA,271,NA,6.49,6.95,0.41,0.55,NA,NA,NA,NA,NA,NA,52,NA,17,NA,0.4,NA,20,NA,With ADS noise,English,main,Infant directed and adult directed speech,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,infant_controlled,native,yes,
Newman2006,"Newman, R.S. & Hussain, I. (2006). Changes in Preference for Infant-Directed Speech in Low and Moderate Noise by 4.5- to 13-Month-Olds. Infancy. 10(1), 61-76.",Newman & Hussain (2006),10.1207/s15327078in1001_8,yes,no,Alvaro Iturralde,1,silent,behavior,familiarization,HPP,looking_time,0,within_two,Newman2006_1_13m.o.,American English,typical,13 months old,NA,30,NA,405,NA,6.7,6.75,0.45,0.5,NA,NA,NA,NA,NA,NA,49,NA,17,NA,0.4,NA,20,NA,No background noise,English,main,Infant directed and adult directed speech,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,infant_controlled,native,yes,
Newman2006,"Newman, R.S. & Hussain, I. (2006). Changes in Preference for Infant-Directed Speech in Low and Moderate Noise by 4.5- to 13-Month-Olds. Infancy. 10(1), 61-76.",Newman & Hussain (2006),10.1207/s15327078in1001_9,yes,no,Alvaro Iturralde,1,background_noise,behavior,familiarization,HPP,looking_time,0,within_two,Newman2006_1_13m.o.,American English,typical,13 months old,NA,30,NA,405,NA,6,6.6,0.5,0.45,NA,NA,NA,NA,NA,NA,49,NA,17,NA,0.4,NA,20,NA,With ADS noise,English,main,Infant directed and adult directed speech,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,infant_controlled,native,yes,
