"","study_type","study_id","short_cite","mean_age","age_group","n","d_calc","d_var_calc","native_lang","prop_nae","infant_type","main_question_ids_preference","same_infant","method","dependent_measure","presentation","response_mode","num_trials","participant_design","setting","speaker","speaker_experience","speaker_fam","speaker_female","speech_type","exposure_phase","test_lang","original_ma","group_name_1","group_name_2","t","n_1","n_2","mean_age_1","mean_age_2","x_1","x_2","sd_1","sd_2","r","corr","gender_1","prop_female","own_mother","isMeta","isRep","mean_agec","unique","yi","vi","sei","lo","hi","pval","affirm","studyTypePretty","sourcePretty"
"11","MB","babylabnijmegen","ManyBabies Consortium (2020)",234.631016042781,"6-9 mo",27,0.487940311030265,0.0762785717326695,"dutch",0,"typical","a.yes","1","b.hpp","a.preference","a.tape recording","behavior",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,7.53134284016637,"babylabnijmegen, #1",0.487940311030265,0.0762785717326695,0.276185755846802,-0.0533738234724406,1.02925444553297,0.0772767020280667,FALSE,"Replications","Replications"
"12","MB","babylabnijmegen","ManyBabies Consortium (2020)",333.912,"9-12 mo",22,-0.0246617250735111,0.0909160022804955,"dutch",0,"typical","a.yes","2","b.hpp","a.preference","a.tape recording","behavior",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,15.8047581699346,"babylabnijmegen, #2",-0.0246617250735111,0.0909160022804955,0.301522805572805,-0.615635564513682,0.566312114366659,0.934813247251667,FALSE,"Replications","Replications"
"13","MB","babylabparisdescartes1","ManyBabies Consortium (2020)",406.116279069767,"12-15 mo",15,0.54085485444389,0.138208732892925,"french",0,"typical","a.yes","1","b.hpp","a.preference","a.tape recording","behavior",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,21.8217814257486,"babylabparisdescartes1, #1",0.54085485444389,0.138208732892925,0.371764351293834,-0.187789884827921,1.2694995937157,0.145715642980141,FALSE,"Replications","Replications"
"14","MB","babylabplymouth","ManyBabies Consortium (2020)",317.072727272727,"9-12 mo",26,0.636359350332156,0.0808168579111073,"english",0,"typical","a.yes","1","b.hpp","a.preference","a.tape recording","behavior",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,14.4014854426619,"babylabplymouth, #1",0.636359350332156,0.0808168579111073,0.28428305948668,0.0791747923234049,1.19354390834091,0.0251903643250107,TRUE,"Replications","Replications"
"15","MB","babylabpotsdam","ManyBabies Consortium (2020)",306.996632996633,"9-12 mo",45,0.566876383705669,0.0462297157466845,"german",0,"typical","a.yes","1","b.hpp","a.preference","a.tape recording","behavior",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,13.5618109196541,"babylabpotsdam, #1",0.566876383705669,0.0462297157466845,0.215010966573067,0.145462632941312,0.988290134470025,0.00837662342561818,TRUE,"Replications","Replications"
"16","MB","babylabpotsdam","ManyBabies Consortium (2020)",306.996632996633,"9-12 mo",45,0.566876383705669,0.0462297157466845,"german",0,"typical","a.yes","2","b.hpp","a.preference","a.tape recording","eye-tracking",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,13.5618109196541,"babylabpotsdam, #2",0.566876383705669,0.0462297157466845,0.215010966573067,0.145462632941312,0.988290134470025,0.00837662342561818,TRUE,"Replications","Replications"
"17","MB","babylabpotsdam","ManyBabies Consortium (2020)",306.996632996633,"9-12 mo",45,0.566876383705669,0.0462297157466845,"german",0,"typical","a.yes","3","a.cf","a.preference","a.tape recording","behavior",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,13.5618109196541,"babylabpotsdam, #3",0.566876383705669,0.0462297157466845,0.215010966573067,0.145462632941312,0.988290134470025,0.00837662342561818,TRUE,"Replications","Replications"
"18","MB","babylabpotsdam","ManyBabies Consortium (2020)",306.996632996633,"9-12 mo",45,0.566876383705669,0.0462297157466845,"german",0,"typical","a.yes","4","a.cf","a.preference","a.tape recording","eye-tracking",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,13.5618109196541,"babylabpotsdam, #4",0.566876383705669,0.0462297157466845,0.215010966573067,0.145462632941312,0.988290134470025,0.00837662342561818,TRUE,"Replications","Replications"
"19","MB","babylabprinceton","ManyBabies Consortium (2020)",414.016949152542,"12-15 mo",14,0.661734803794448,0.150676659831301,"english",1,"non-typical","a.yes","1","b.hpp","a.preference","a.tape recording","behavior",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","a.native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,22.4801705993132,"babylabprinceton, #1",0.661734803794448,0.150676659831301,0.388170915746274,-0.099066210914182,1.42253581850308,0.0882408511240333,FALSE,"Replications","Replications"
"20","MB","babylabshimane","ManyBabies Consortium (2020)",145.877551020408,"3-6 mo",13,-0.0830792034807204,0.153978887577904,"japanese",0,"typical","a.yes","1","a.cf","a.preference","a.tape recording","eye-tracking",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,0.135220754968653,"babylabshimane, #1",-0.0830792034807204,0.153978887577904,0.392401436768399,-0.852171887028553,0.686013480067112,0.83232554113908,FALSE,"Replications","Replications"
"21","MB","babylabshimane","ManyBabies Consortium (2020)",230.358974358974,"6-9 mo",13,0.171613577747355,0.154412523462832,"japanese",0,"typical","a.yes","2","a.cf","a.preference","a.tape recording","eye-tracking",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,7.17533936651584,"babylabshimane, #2",0.171613577747355,0.154412523462832,0.392953589451517,-0.598561305173357,0.941788460668068,0.662309095691156,FALSE,"Replications","Replications"
"22","MB","babylabuclajohnson","ManyBabies Consortium (2020)",405.17094017094,"12-15 mo",22,0.40166117452452,0.0927424056718229,"english",1,"typical","a.yes","1","a.cf","a.preference","a.tape recording","eye-tracking",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","a.native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,21.7430031841797,"babylabuclajohnson, #1",0.40166117452452,0.0927424056718229,0.304536378240471,-0.19521915880907,0.998541507858109,0.187193603410762,FALSE,"Replications","Replications"
"23","MB","babylabutrecht","ManyBabies Consortium (2020)",224.755208333333,"6-9 mo",30,0.17460611782741,0.0669207274698563,"dutch",0,"typical","a.yes","1","b.hpp","a.preference","a.tape recording","behavior",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,6.70835886437909,"babylabutrecht, #1",0.17460611782741,0.0669207274698563,0.258690408538578,-0.332417766054155,0.681630001708976,0.499700098794035,FALSE,"Replications","Replications"
"24","MB","babylabutrecht","ManyBabies Consortium (2020)",325.650793650794,"9-12 mo",31,0.247010922646159,0.0650081806121492,"dutch",0,"typical","a.yes","2","b.hpp","a.preference","a.tape recording","behavior",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,15.1163243075008,"babylabutrecht, #2",0.247010922646159,0.0650081806121492,0.254967018675258,-0.252715251202898,0.746737096495215,0.332647188613151,FALSE,"Replications","Replications"
"25","MB","babylabvuw","ManyBabies Consortium (2020)",227.021978021978,"6-9 mo",13,0.0310848023342501,0.153864735864157,"english",0,"typical","a.yes","1","a.cf","a.preference","a.tape recording","eye-tracking",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,6.89725633843281,"babylabvuw, #1",0.0310848023342501,0.153864735864157,0.392255957079248,-0.737722746262365,0.799892350930866,0.936836780978305,FALSE,"Replications","Replications"
"26","MB","babylabyork","ManyBabies Consortium (2020)",218.90756302521,"6-9 mo",16,0.207826269686768,0.125674871224561,"english",0,"typical","a.yes","1","a.cf","a.preference","a.tape recording","eye-tracking",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,6.22105508870215,"babylabyork, #1",0.207826269686768,0.125674871224561,0.354506517887275,-0.486993737656996,0.902646277030533,0.557713546262106,FALSE,"Replications","Replications"
"27","MB","babylabyork","ManyBabies Consortium (2020)",313.851485148515,"9-12 mo",16,0.431109931148335,0.12790399644898,"english",0,"typical","a.yes","2","a.cf","a.preference","a.tape recording","eye-tracking",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,14.1330485989775,"babylabyork, #2",0.431109931148335,0.12790399644898,0.35763668219155,-0.269845085497501,1.13206494779417,0.228033089487669,FALSE,"Replications","Replications"
"28","MB","babylingoslo","ManyBabies Consortium (2020)",234.610169491525,"6-9 mo",18,0.162128517001555,0.111476189667016,"norwegian",0,"typical","a.yes","1","a.cf","a.preference","a.tape recording","eye-tracking",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,7.52960562756176,"babylingoslo, #1",0.162128517001555,0.111476189667016,0.333880502076739,-0.492265242209005,0.816522276212115,0.627258983887919,FALSE,"Replications","Replications"
"29","MB","baldwinlabuoregon","ManyBabies Consortium (2020)",322.295918367347,"9-12 mo",16,0.596796991310606,0.130565103888084,"english",1,"typical","a.yes","1","a.cf","a.preference","a.tape recording","eye-tracking",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","a.native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,14.8367513672136,"baldwinlabuoregon, #1",0.596796991310606,0.130565103888084,0.361337935855183,-0.111412349213597,1.30500633183481,0.098609765461753,FALSE,"Replications","Replications"
"30","MB","bchdosu","ManyBabies Consortium (2020)",405.736263736264,"12-15 mo",15,0.250726236886461,0.134381060764387,"english",1,"typical","a.yes","1","a.cf","a.preference","a.tape recording","eye-tracking",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","a.native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,21.7901134812899,"bchdosu, #1",0.250726236886461,0.134381060764387,0.366580224186177,-0.467757799963064,0.969210273735986,0.494000378490993,FALSE,"Replications","Replications"
"31","MB","bchdosu","ManyBabies Consortium (2020)",141.274809160305,"3-6 mo",20,0.449769687075273,0.102528659642647,"english",1,"typical","a.yes","2","a.cf","a.preference","a.tape recording","eye-tracking",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","a.native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,-0.248341066706582,"bchdosu, #2",0.449769687075273,0.102528659642647,0.320200967585433,-0.177812677207052,1.0773520513576,0.160125940064286,FALSE,"Replications","Replications"
"32","MB","bchdosu","ManyBabies Consortium (2020)",241.038834951456,"6-9 mo",15,0.0466829153351577,0.133369654909736,"english",1,"non-typical","a.yes","3","a.cf","a.preference","a.tape recording","eye-tracking",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","a.native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,8.06532774922267,"bchdosu, #3",0.0466829153351577,0.133369654909736,0.365198103650247,-0.669092215041652,0.762458045711967,0.898284284597988,FALSE,"Replications","Replications"
"33","MB","bchdosu","ManyBabies Consortium (2020)",322.785714285714,"9-12 mo",16,0.325081261591709,0.12665121604122,"english",1,"typical","a.yes","4","a.cf","a.preference","a.tape recording","eye-tracking",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","a.native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,14.8775676937442,"bchdosu, #4",0.325081261591709,0.12665121604122,0.355880901484218,-0.372432488103005,1.02259501128642,0.361003182958158,FALSE,"Replications","Replications"
"34","MB","bcrlunlv","ManyBabies Consortium (2020)",409.418032786885,"12-15 mo",27,0.530296279902419,0.0766779087451699,"english",1,"typical","a.yes","1","a.cf","a.preference","a.tape recording","eye-tracking",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","a.native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,22.0969275688417,"bcrlunlv, #1",0.530296279902419,0.0766779087451699,0.276907762161283,-0.012432960973279,1.07302552077812,0.0554842531943123,FALSE,"Replications","Replications"
"35","MB","bllumanitoba","ManyBabies Consortium (2020)",410.622448979592,"12-15 mo",16,1.75885181398566,0.173336870368135,"english",1,"typical","a.yes","1","b.hpp","a.preference","a.tape recording","behavior",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","a.native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,22.1972955849006,"bllumanitoba, #1",1.75885181398566,0.173336870368135,0.416337447712952,0.942845411052947,2.57485821691837,0.0000239384355977812,TRUE,"Replications","Replications"
"36","MB","bllumanitoba","ManyBabies Consortium (2020)",166.542553191489,"3-6 mo",13,0.491598589581393,0.158493637947662,"english",1,"typical","a.yes","2","b.hpp","a.preference","a.tape recording","behavior",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","a.native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,1.85730426922542,"bllumanitoba, #2",0.491598589581393,0.158493637947662,0.398112594560461,-0.288687757548907,1.27188493671169,0.216896384326274,FALSE,"Replications","Replications"
"37","MB","bllumanitoba","ManyBabies Consortium (2020)",234.769633507853,"6-9 mo",26,-0.102030159466746,0.0770231745523155,"english",1,"typical","a.yes","3","b.hpp","a.preference","a.tape recording","behavior",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","a.native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,7.54289429558909,"bllumanitoba, #3",-0.102030159466746,0.0770231745523155,0.277530493013498,-0.645979930384848,0.441919611451355,0.713144777571633,FALSE,"Replications","Replications"
"38","MB","bllumanitoba","ManyBabies Consortium (2020)",313.816993464052,"9-12 mo",23,0.635103430589402,0.0913408300820264,"english",1,"typical","a.yes","4","b.hpp","a.preference","a.tape recording","behavior",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","a.native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,14.130174291939,"bllumanitoba, #4",0.635103430589402,0.0913408300820264,0.302226454967176,0.0427504636785208,1.22745639750028,0.035604487129026,TRUE,"Replications","Replications"
"39","MB","bounbcl","ManyBabies Consortium (2020)",408.931623931624,"12-15 mo",31,0.266733762613958,0.0650898943557919,"turkish",0,"typical","a.yes","1","a.cf","a.preference","a.tape recording","eye-tracking",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,22.05639349757,"bounbcl, #1",0.266733762613958,0.0650898943557919,0.255127212103672,-0.23330638458535,0.766773909813266,0.295795086795874,FALSE,"Replications","Replications"
"40","MB","callab","ManyBabies Consortium (2020)",334.369863013699,"9-12 mo",15,0.059622926745294,0.133392581556561,"english",1,"typical","a.yes","1","a.cf","a.preference","a.tape recording","eye-tracking",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","a.native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,15.8429134210762,"callab, #1",0.059622926745294,0.133392581556561,0.365229491630346,-0.656213722942058,0.775459576432646,0.870323298071365,FALSE,"Replications","Replications"
"41","MB","cdcceu","ManyBabies Consortium (2020)",399.514285714286,"12-15 mo",13,0.813983399153129,0.166587864886479,"hungarian",0,"typical","a.yes","1","a.cf","a.preference","a.tape recording","eye-tracking",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,21.2716153127918,"cdcceu, #1",0.813983399153129,0.166587864886479,0.408151766977038,0.0140206356517499,1.61394616265451,0.0461175853514475,TRUE,"Replications","Replications"
"42","MB","cdcceu","ManyBabies Consortium (2020)",148.483870967742,"3-6 mo",12,-0.30069119894959,0.168550316606786,"hungarian",0,"typical","a.yes","2","a.cf","a.preference","a.tape recording","eye-tracking",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,0.352414083913134,"cdcceu, #2",-0.30069119894959,0.168550316606786,0.41054879930014,-1.10535205947403,0.503969661574846,0.463916643554572,FALSE,"Replications","Replications"
"43","MB","childlabmanchester","ManyBabies Consortium (2020)",242.047619047619,"6-9 mo",11,-0.305447674007374,0.183938597308103,"english",0,"typical","a.yes","1","a.cf","a.preference","a.tape recording","eye-tracking",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,8.14939309056956,"childlabmanchester, #1",-0.305447674007374,0.183938597308103,0.428880632936605,-1.14603826822986,0.535142920215114,0.476342543408505,FALSE,"Replications","Replications"
"44","MB","chosunbaby","ManyBabies Consortium (2020)",404.703196347032,"12-15 mo",30,0.660348879615367,0.0703005053567439,"korean",0,"typical","a.yes","1","b.hpp","a.preference","a.tape recording","behavior",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,21.7040245321873,"chosunbaby, #1",0.660348879615367,0.0703005053567439,0.265142424664074,0.140679276500159,1.18001848273058,0.0127547695354493,TRUE,"Replications","Replications"
"45","MB","chosunbaby","ManyBabies Consortium (2020)",224.75845410628,"6-9 mo",28,0.175314893633813,0.0717029938565164,"korean",0,"typical","a.yes","2","b.hpp","a.preference","a.tape recording","behavior",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,6.70862934545799,"chosunbaby, #2",0.175314893633813,0.0717029938565164,0.267774147102584,-0.349512790678182,0.700142577945809,0.512653326981152,FALSE,"Replications","Replications"
