study_ID,long_cite,short_cite,doi,peer_reviewed,original_ma,coder,expt_num,expt_condition,response_mode,exposure_phase,method,dependent_measure,between_participant,participant_design,same_infant,native_lang,infant_type,group_name_1,group_name_2,n_1,n_2,mean_age_1,mean_age_2,x_1,x_2,SD_1,SD_2,t,F,d,d_var,r,corr,age_range_1,age_range_2,n_excluded_1,n_excluded_2,gender_1,gender_2,num_trials,mean_vocab,method_secondary,stim_language,contrast,type,speaker_fam,speaker_experience,speaker_female,speaker,presentation,setting,speech_type,test_lang,trial_control,main_question_IDS_preference,My comments
Fernald1987,"Fernald A. & Kuhl, P. (1987). Acoustic determinants of infant preference for motherese speech. Infant Behavior and Development. 10(2), 279-293. ",Fernald & Kuhl (1987),10.1016/0163-6383(87)90017-8,yes,yes,Alex Cristia,1,NA,behavior,conditioning,CHT,target_selection,0,within_two,Fernald1987_1,American English,typical,NA,NA,20,NA,124,NA,NA,NA,NA,NA,NA,NA,1.54,0.129645,,NA,10,NA,NA,NA,0.45,NA,NA,NA,Number of trials  in which head turn was in the direction required to produce  either IDS or ADS,English,component,Computer synthesized infant directed and adult directed fundamental frequency contours,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Synthesized,artificial,infant_controlled,yes,
Fernald1987,"Fernald A. & Kuhl, P. (1987). Acoustic determinants of infant preference for motherese speech. Infant Behavior and Development. 10(2), 279-293. ",Fernald & Kuhl (1987),10.1016/0163-6383(87)90017-8,yes,yes,Alex Cristia,2,NA,behavior,conditioning,CHT,target_selection,0,within_two,Fernald1987_2,American English,typical,NA,NA,20,NA,122,NA,NA,NA,NA,NA,NA,NA,0,0.1,,NA,10,NA,NA,NA,0.5,NA,NA,NA,Number of trials  in which head turn was in the direction required to produce either IDS or ADS,English,component,Computer synthesized infant directed and adult directed amplitude values,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Synthesized,artificial,infant_controlled,yes,
Fernald1987,"Fernald A. & Kuhl, P. (1987). Acoustic determinants of infant preference for motherese speech. Infant Behavior and Development. 10(2), 279-293. ",Fernald & Kuhl (1987),10.1016/0163-6383(87)90017-8,yes,yes,Alex Cristia,3,NA,behavior,conditioning,CHT,target_selection,0,within_two,Fernald1987_3,American English,typical,NA,NA,20,NA,125,NA,NA,NA,NA,NA,NA,NA,0.8,0.108,,NA,6,NA,NA,NA,0.5,NA,NA,NA,Number of trials  in which head turn was in the direction required to produce either IDS or ADS,English,component,Computer synthesized infant directed and adult directed duration characteristics,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Synthesized,artificial,infant_controlled,yes,
Glenn1983,"Glenn, S. M. & Cunningham C. C. (1983). What do babies listen to most? A developmental study of auditory preferences in nonhandicapped infants and infants with Down's syndrome. Developmental Psychology, Vol 19(3), 332-337. http://dx.doi.org/10.1037/0012-1649.19.3.332",Glenn & Cunningham (1983),10.1037/0012-1649.19.3.332,yes,yes,Alex Cristia,1,sample2,behavior,conditioning,FC,target_selection,0,within_two,Glenn1983_1_sample2,British English,down_syndrome,NA,NA,10,NA,372,NA,NA,NA,NA,NA,NA,NA,2.56,0.36384,,NA,NA,NA,NA,NA,0.5,NA,NA,NA,Amount of time child choose to listen to either IDS or ADS by activating a manipulanda,English,main,Infant directed and adult directed speech,0,1,1,Child’s mother,Tape recording,Home,Naturalistic,native,infant_controlled,yes,372 days is the mental age - probably replace with chronological??
Glenn1983,"Glenn, S. M. & Cunningham C. C. (1983). What do babies listen to most? A developmental study of auditory preferences in nonhandicapped infants and infants with Down's syndrome. Developmental Psychology, Vol 19(3), 332-337. http://dx.doi.org/10.1037/0012-1649.19.3.332",Glenn & Cunningham (1983),10.1037/0012-1649.19.3.332,yes,yes,Alex Cristia,1,sample1,behavior,conditioning,FC,target_selection,0,within_two,Glenn1983_1_sample1,British English,typical,NA,NA,10,NA,279,NA,NA,NA,NA,NA,NA,NA,2.39,0.3428025,,NA,NA,NA,NA,NA,0.5,NA,NA,NA,Amount of time child choose to listen to either IDS or ADS by activating a manipulanda,English,main,Infant directed and adult directed speech,0,1,1,Child’s mother,Tape recording,Home,Naturalistic,native,infant_controlled,yes,what happened with phase 1/study 1??
Kaplan1995a,"Kaplan, P. S., Goldstein, M. H., Huckeby, E. R., & Cooper, R. P. (1995). Habituation, sensitization, and infants' responses to motherese speech. Developmental Psychobiology, 28, 45-57.",Kaplan et al. (1995a),10.1002/dev.420280105,yes,yes,Alex Cristia,1,a,eye-tracking,test_only,CF,looking_time,1,between,Kaplan1995a_1_a,American English,typical,NA,NA,38,39,124,NA,NA,NA,NA,NA,NA,NA,0.76,0.05643157895,,NA,28,NA,NA,NA,NA,NA,NA,NA,Amount of time looking at checkerboard while listening to either IDS or ADS,English,main,Spontaneous and previously recorded infant directed speech and adult directed speech,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Simulated,native,infant_controlled,yes,
Kaplan1995a,"Kaplan, P. S., Goldstein, M. H., Huckeby, E. R., & Cooper, R. P. (1995). Habituation, sensitization, and infants' responses to motherese speech. Developmental Psychobiology, 28, 45-57.",Kaplan et al. (1995a),10.1002/dev.420280105,yes,yes,Alex Cristia,2,a,eye-tracking,test_only,CF,looking_time,0,within_two,Kaplan1995a_2_a,American English,typical,NA,NA,26,NA,126,NA,NA,NA,NA,NA,NA,NA,0.82,0.08338846154,,NA,27,NA,NA,NA,NA,NA,NA,NA,Amount of time looking at checkerboard while listening to alternating IDS and ADS with either IDS heard first or ADS  heard first,English,main,Infant directed and adult directed speech,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,native,infant_controlled,yes,
Kaplan1995b,"Kaplan, P. S., Goldstein, M. H., Huckeby, E. R., Owren, M. J., & Cooper, R. P. (1995). Dishabituation of visual attention by infant- versus adult-directed speech: Effects of frequency modulation and spectral composition. Infant Behavior and Development, 18, 209-223. ",Kaplan et al. (1995b),10.1016/0163-6383(95)90050-0,yes,yes,Alex Cristia,1,after_9th_trial,eye-tracking,familiarization,CF,looking_time,1,between,Kaplan1995b_1_after_9th_trial,American English,typical,NA,NA,15,15,124,NA,NA,NA,NA,NA,NA,NA,0.44,0.13656,,NA,15,NA,NA,NA,0.6,NA,NA,NA,Amount of time looking at check pattern before hearing either IDS or ADS ,English,main,Spontaneous infant directed speech and adult directed speech,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Simulated,native,fixed_length,no,NB change in condition name across appendices; repeated measures is before & after
Kaplan1995b,"Kaplan, P. S., Goldstein, M. H., Huckeby, E. R., Owren, M. J., & Cooper, R. P. (1995). Dishabituation of visual attention by infant- versus adult-directed speech: Effects of frequency modulation and spectral composition. Infant Behavior and Development, 18, 209-223. ",Kaplan et al. (1995b),10.1016/0163-6383(95)90050-0,yes,yes,Alex Cristia,1,after_10th_trial,eye-tracking,familiarization,CF,looking_time,1,between,Kaplan1995b_1_after_10th_trial,American English,typical,NA,NA,15,15,124,NA,NA,NA,NA,NA,NA,NA,0.88,0.14624,,NA,15,NA,NA,NA,0.6,NA,NA,NA,Amount of time looking at check pattern after hearing either IDS or ADS speech ,English,main,Spontaneous infant directed speech and adult directed speech,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Simulated,native,fixed_length,no,NB change in condition name across appendices; repeated measures is before & after
Kaplan1995b,"Kaplan, P. S., Goldstein, M. H., Huckeby, E. R., Owren, M. J., & Cooper, R. P. (1995). Dishabituation of visual attention by infant- versus adult-directed speech: Effects of frequency modulation and spectral composition. Infant Behavior and Development, 18, 209-223. ",Kaplan et al. (1995b),10.1016/0163-6383(95)90050-0,yes,yes,Alex Cristia,2,after_9th_trial,eye-tracking,familiarization,CF,looking_time,1,between,Kaplan1995b_2_after_9th_trial,American English,typical,NA,NA,20,20,121,NA,NA,NA,NA,NA,NA,NA,0.14,0.100245,,NA,17,NA,NA,NA,0.55,NA,NA,NA,Amount of time looking at check pattern before hearing either IDS or ADS ,English,main,Infant directed and adult directed speech,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,native,fixed_length,no,NB change in condition name across appendices; repeated measures is before & after
Kaplan1995b,"Kaplan, P. S., Goldstein, M. H., Huckeby, E. R., Owren, M. J., & Cooper, R. P. (1995). Dishabituation of visual attention by infant- versus adult-directed speech: Effects of frequency modulation and spectral composition. Infant Behavior and Development, 18, 209-223. ",Kaplan et al. (1995b),10.1016/0163-6383(95)90050-0,yes,yes,Alex Cristia,2,after_10th_trial,eye-tracking,familiarization,CF,looking_time,1,between,Kaplan1995b_2_after_10th_trial,American English,typical,NA,NA,20,20,121,NA,NA,NA,NA,NA,NA,NA,0.36,0.10162,,NA,17,NA,NA,NA,0.55,NA,NA,NA,Amount of time looking at check after hearing either IDS or ADS ,English,main,Infant directed and adult directed speech,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,native,fixed_length,no,NB change in condition name across appendices; repeated measures is before & after
Pegg1989,"Pegg, J.E.; Werker, J.F. & McLeod, P.J. (1989). infants discriminate between infutlrdirected and adult-directed tulk in both males and females. Paper presented at the meeting for the Society for Research in Child Development, Kansas City, MO.",Pegg et al. (1989),https://files.eric.ed.gov/fulltext/ED306007.pdf,yes,yes,Alex Cristia,1,femaleVoice,eye-tracking,test_only,CF,looking_time,0,within_two,Pegg1989,Canadian English,typical,NA,NA,48,NA,49,NA,NA,NA,NA,NA,NA,NA,0.56,0.0433,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amount of time looking at checkerboard while listening to female IDS or ADS speech during the criterion setting trials,English,main,Infant directed and adult directed speech,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,native,infant_controlled,yes,
Pegg1989,"Pegg, J.E.; Werker, J.F. & McLeod, P.J. (1989). infants discriminate between infutlrdirected and adult-directed tulk in both males and females. Paper presented at the meeting for the Society for Research in Child Development, Kansas City, MO.",Pegg et al. (1989),https://files.eric.ed.gov/fulltext/ED306007.pdf,yes,yes,Alex Cristia,1,maleVoice,eye-tracking,test_only,CF,looking_time,0,within_two,Pegg1989,Canadian English,typical,NA,NA,48,NA,49,NA,NA,NA,NA,NA,NA,NA,1.15,0.0485546875,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amount of time looking at checkerboard while listening to male IDS or ADS speech during the criterion setting trials,English,main,Infant directed and adult directed speech,0,0,0,Unfamiliar male,Tape recording,Laboratory,Simulated,native,infant_controlled,yes,the speaker column must have been wrong in the table so I corrected it
Pegg1992,"Pegg, J.E. & Werker J. (1992). Preference for infant-directed over adult-directed speech: Evidence from 7-week-old infants. Infant Behavior and Development. 15(3), 325-345.",Pegg et al. (1992),10.1016/0163-6383(92)80003-D,yes,yes,Alex Cristia,2,femaleVoice,eye-tracking,test_only,CF,looking_time,0,within_two,Pegg1992_2_femaleVoice,Canadian English,typical,NA,NA,48,NA,49,NA,NA,NA,NA,NA,NA,NA,0.46,0.04276875,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Differences in looking time of female IDS or ADS during 2  longest of first three trails (criterion mean) of habituation phase,English,main,Infant directed and adult directed speech,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,native,infant_controlled,yes,
Pegg1992,"Pegg, J.E. & Werker J. (1992). Preference for infant-directed over adult-directed speech: Evidence from 7-week-old infants. Infant Behavior and Development. 15(3), 325-345.",Pegg et al. (1992),10.1016/0163-6383(92)80003-D,yes,yes,Alex Cristia,2,maleVoice,eye-tracking,test_only,CF,looking_time,0,within_two,Pegg1992_2_maleVoice,Canadian English,typical,NA,NA,48,NA,49,NA,NA,NA,NA,NA,NA,NA,1.15,0.0485546875,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Differences in looking time of male IDS or ADS during 2 longest of first three trails (criterion mean) of habituation phase,English,main,Infant directed and adult directed speech,0,0,0,Unfamiliar male,Tape recording,Laboratory,Simulated,native,infant_controlled,yes,the speaker column must have been wrong in the table so I corrected it
Schachner2011,"Schachner, A.; Hannon, E. E. (2011). Infant-directed speech drives social preferences in 5-month-old infants. Developmental Psychology, Vol 47(1), 19-25.",Schachner & Hannon (2011),10.1037/a0020740,yes,yes,Alex Cristia,1,looking_fam,eye-tracking,test_only,CF,looking_time,0,within_two,Schachner2011,American English,typical,NA,NA,20,NA,156,NA,NA,NA,NA,NA,NA,NA,0.31,0.10120125,,NA,55,NA,NA,NA,0.5,NA,NA,NA,Looking time during familiarization phase of  a woman speaking either IDS or ADS,English,main,Infant directed and adult directed,0,0,1,Unfamiliar females,Video recording,Laboratory,Simulated,native,fixed_length,no,
Schachner2011,"Schachner, A.; Hannon, E. E. (2011). Infant-directed speech drives social preferences in 5-month-old infants. Developmental Psychology, Vol 47(1), 19-25.",Schachner & Hannon (2011),10.1037/a0020740,yes,yes,Alex Cristia,1,face_pref_test,behavior,familiarization,FC,target_selection,0,within_two,Schachner2011,American English,typical,NA,NA,20,NA,156,NA,NA,NA,NA,NA,NA,NA,1.26,0.119845,,NA,55,NA,NA,NA,0.5,NA,NA,NA,Preference for familiar face during test phase for IDS or ADS,English,main,Infant directed and adult directed,0,0,1,Unfamiliar females,Video recording,Laboratory,Simulated,native,fixed_length,no,
Singh2002,"Singh, L.; Morgan, J.L. & Best, C.T. (2002). Infants' Listening Preferences: Baby Talk or Happy Talk? Infancy. 3(3), 365-394.",Singh et al. (2002),10.1207/S15327078IN0303_5,yes,yes,Alex Cristia,2,happy,behavior,familiarization,HPP,looking_time,0,within_two,Singh2002_2,American English,typical,NA,NA,36,NA,179,NA,NA,NA,NA,NA,NA,NA,-0.16,0.05573333333,,NA,46,NA,NA,NA,0.388888889,NA,NA,NA,Amount of time looking at flashing light while listening to either happy IDS or happy ADS,English,affect_controlled,"Happy, neutral, or sad (controls for affect, set to happy)",0,1,1,Unfamiliar mother,Tape recording,Laboratory,Simulated,native,infant_controlled,yes,how is this study different from second one?
Singh2002,"Singh, L.; Morgan, J.L. & Best, C.T. (2002). Infants' Listening Preferences: Baby Talk or Happy Talk? Infancy. 3(3), 365-394.",Singh et al. (2002),10.1207/S15327078IN0303_5,yes,yes,Alex Cristia,2,neutral,behavior,familiarization,HPP,looking_time,0,within_two,Singh2002_2,American English,typical,NA,NA,36,NA,179,NA,NA,NA,NA,NA,NA,NA,-0.3,0.05618055556,,NA,46,NA,NA,NA,0.388888889,NA,NA,NA,Amount of time looking at flashing light while listening to either neutral IDS or neutral ADS,English,affect_controlled,"Happy, neutral, or sad (controls for affect, set to neutral)",0,1,1,Unfamiliar mother,Tape recording,Laboratory,Simulated,native,infant_controlled,yes,
Singh2002,"Singh, L.; Morgan, J.L. & Best, C.T. (2002). Infants' Listening Preferences: Baby Talk or Happy Talk? Infancy. 3(3), 365-394.",Singh et al. (2002),10.1207/S15327078IN0303_5,yes,yes,Martin Zettersten,2,sad,behavior,familiarization,HPP,looking_time,0,within_two,Singh2002_2,American English,typical,NA,NA,36,NA,179,NA,NA,NA,NA,NA,NA,NA,-0.54,0.05758055556,,NA,46,NA,NA,NA,0.388888889,NA,NA,NA,Amount of time looking at flashing light while listening to either neutral IDS or neutral ADS,English,affect_controlled,"Happy, neutral, or sad (controls for affect, set to neutral)",0,1,1,Unfamiliar mother,Tape recording,Laboratory,Simulated,native,infant_controlled,yes,added by Martin Zettersten mirroring Alex Cristia's coding (omitted in the initial transcribing of the Dunst et al. meta-analysis); note that N is incorrect (should be 12)
Singh2002,"Singh, L.; Morgan, J.L. & Best, C.T. (2002). Infants' Listening Preferences: Baby Talk or Happy Talk? Infancy. 3(3), 365-394.",Singh et al. (2002),10.1207/S15327078IN0303_5,yes,yes,Alex Cristia,2A,NA,behavior,familiarization,HPP,looking_time,0,within_two,Singh2002_2A,American English,typical,NA,NA,24,NA,189,NA,NA,NA,NA,NA,NA,NA,0.24,0.08393333333,,NA,36,NA,NA,NA,0.541666667,NA,NA,NA,Amount of time looking at flashing light while listening to either happy IDS or happy ADS,English,affect_controlled,Happy infant directed and adult directed speech,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Simulated,native,infant_controlled,yes,"how is this study different from first one, happy condition?"
Singh2002,"Singh, L.; Morgan, J.L. & Best, C.T. (2002). Infants' Listening Preferences: Baby Talk or Happy Talk? Infancy. 3(3), 365-394.",Singh et al. (2002),10.1207/S15327078IN0303_5,yes,yes,Alex Cristia,3,happy,behavior,familiarization,HPP,looking_time,1,between,Singh2002_3,American English,typical,NA,NA,14,14,187,187,NA,NA,NA,NA,NA,NA,0.5,0.1473214286,,NA,31,NA,NA,NA,0.428571429,NA,NA,NA,Amount of time looking at flashing light while listening to either happy IDS or happy ADS ,English,affect_controlled,Happy or neutral infant ,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Simulated,native,infant_controlled,no,"how is this study different from first one, happy condition?"
Singh2002,"Singh, L.; Morgan, J.L. & Best, C.T. (2002). Infants' Listening Preferences: Baby Talk or Happy Talk? Infancy. 3(3), 365-394.",Singh et al. (2002),10.1207/S15327078IN0303_5,yes,yes,Alex Cristia,3,neutral,behavior,familiarization,HPP,looking_time,1,between,Singh2002_3,American English,typical,NA,NA,14,14,187,187,NA,NA,NA,NA,NA,NA,0.61,0.1495017857,,NA,31,NA,NA,NA,0.428571429,NA,NA,NA,Amount of time looking at flashing light while listening to either neutral IDS or neutral ADS,English,affect_controlled,Happy or neutral infant ,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Simulated,native,infant_controlled,no,"how is this study different from first one, neutral condition?"
Singh2009,"Singh, L.; Nestor, S.; Parikh, C. & Yull, A. (209). Influences of Infant-Directed Speech on Early Word Recognition. Infancy. 14(6), 654-666.",Singh et al. (2009),10.1080/15250000903263973,yes,yes,Alex Cristia,1,IDS ,behavior,familiarization,HPP,looking_time,1,between,Singh2009,American English,typical,NA,NA,16,16,224,224,NA,NA,NA,NA,NA,NA,0.29,0.1263140625,,NA,31,NA,NA,NA,0.375,NA,NA,NA,Amount of time looking at flashing light while listening to passages containing words familiarized in IDS,English,main,Infant directed and adult directed sentences,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Simulated,native,infant_controlled,no,
Singh2009,"Singh, L.; Nestor, S.; Parikh, C. & Yull, A. (209). Influences of Infant-Directed Speech on Early Word Recognition. Infancy. 14(6), 654-666.",Singh et al. (2009),10.1080/15250000903263973,yes,yes,Alex Cristia,1,ADS,behavior,familiarization,HPP,looking_time,1,between,Singh2009,American English,typical,NA,NA,16,16,224,224,NA,NA,NA,NA,NA,NA,0.29,0.1263140625,,NA,31,NA,NA,NA,0.375,NA,NA,NA,Amount of time looking at flashing light while listening to passages containing words familiarized in ADS,English,main,Infant directed and adult directed sentences,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Simulated,native,infant_controlled,no,
Trainor1996,"Trainor, L.J. (1996). Infant preferences for infant-directed versus noninfant-directed playsongs and lullabies. Infant Behavior and Development. 19(1), 83-92.",Trainor et al. (1996),http://dx.doi.org/10.1016/S0163-6383(96)90046-6,yes,yes,Alex Cristia,2,playsongs,behavior,test_only,HPP,looking_time,0,within_two,Trainor1996_2,Canadian English,typical,NA,NA,60,NA,179,NA,NA,NA,NA,NA,NA,NA,2.27,0.05480375,,NA,51,NA,NA,NA,NA,NA,NA,NA,Amount of time looking at light and illuminated toy while listening to ID or AD playsongs,English,main,Playsongs and lullabies with infant present (infant directed) and infant absent (adult directed),0,1,1,Unfamiliar mother,Tape recording,Laboratory,Naturalistic,native,infant_controlled,yes,
