Field Name ,Description,Type,Format,Example,Required?,Notes
test_lang,testing language compared to infants' native language,options,"options:
      - native
      - accented
      - non-native
      - artificial",,no,
stimuli_link, link to stimulus material (ideally with documentation),string,,,,
data_link,link to dataset (ideally with documentation),string,,,,
age_range_1,difference between max age and min age of participants in days (1 month = 30.44 days; 1 year = 365.25 days),numeric,,,no,
age_range_2,difference between max age and min age of participants in days (1 month = 30.44 days; 1 year = 365.25 days),numeric,,,no,
n_excluded_1,number participants excluded for any reason,numeric,,,no,
n_excluded_2,number participants excluded for any reason,numeric,,,no,
fussers,number of participants explicitly stated as excluded for fussiness,numeric,e.g. = 4 if paper states that 4 participants were excluded for fussiness,4,,
non_criterion,number of participants excluded for failure to meet a certain criterion,numeric,e.g. = 5 if paper states that 5 participants were excluded for listening for less than some criterion,5,,
criterion,numeric representation of the criterion,numeric,3 (if criterion_definition is same as below),3,,
criterion_definition,sentence description of what the criterion is,string,"a full description of the criterion implemented - to aid in interpreting the criterion column, which notes the specific numeric cutoff used",failing to listen for a total of at least 3 seconds to one or more of the four conditions,,
exclusionCriteria,list of the exclusion criteria (and number of participants excluded for each reason) mentioned in the paper,string,"list of exclusion criteria mentioned in the paper separated by the ""|"" character; if the number of participants excluded for each case are mentioned, include the number after the specific exclusion case using the ""_"" character to separate the exclusion case and the number of exclusions. For example, if 3 infants were excluded for parental interference, 6 infants were excluded for equipment error, and 10 infants were excluded for fussiness, the coding would be ""parental interference_3|equipment error_6|fussiness_10""",parental interference_3|equipment error_6|fussiness_10|failure to complete experiment_1,no,
gender_1,proportion of female participants,numeric,e.g. = 13/24 for 13 girls in a sample of 24 participants,0.541,no,
gender_2,"proportion of female participants in group 2, if participant_design = between",numeric,,,no,
num_trials,number of test trials,numeric,,,no,
mean_vocab,vocabulary size of participant (not used),numeric,-,-,no,not used in later coding iterations
method_secondary,description of the dependent measure used (not included in future iterations of coding),character,,,no,not used in later coding iterations
stim_language,language inn which the stimulus is presented (not used in later coding iterations),character,,English,no,not used in later coding iterations
contrast,the conceptualization of the contrast between IDS/ ADS in the experiment,character,,main,no,not used in later coding iterations
type,verbal description of the type of stimulus contrast used,character,,Infant directed and adult directed speech,no,not used in later coding iterations
speaker_fam,Is the speaker in the stimulus familiar to the child?,numeric,0 or 1,1,no,
speaker_female,Is the speaker in the stimulus female?,numeric,0 or 1,1,no,
speaker_experience,"Does the speaker have experience speaking to a child (usually, a parent)?",numeric,0 or 1,1,no,
speaker,identity of the speaker who generated the stimlui,string,options: child's mother; child's father; unfamiliar mother; unfamiliar father; unfamiliar female; unfamiliar male,unfamiliar mother,no,child's mother / father - speaker is the child's actual mother or father; unfamiliar mother / father - article specifies that the person recording the stimuli was a mother or father (maybe from a separate experiment) but the speaker is not the child participants' mother/father; unfamiliar female/male - it is not specified that the speaker has any relation to the child or is a parent
presentation,method with which speech was presented to infants (focused on the media type),string,options: -Tape recording (if infant presented only with audio and an unrelated visual stimulus) - Video recording (infants are presented with a video of someone speaking IDS vs. ADS),video,no,
setting,,,,,no,
speech_type,Type/ context/ manipulation of speech stimulus. From Dunst et al.: Naturalistic speech: mothers talking to infants or adults as they normally would. Simulated: adults being asked to speak preselected sentences or phrases to infants or adults. Filtered speech: either naturalistic or simulated speech where the higher-frequency components of the speech were removed. Synthesized speech: digitized speech signals that extracted fundamental frequency and amplitude information from natural speech samples.,string,options: Naturalistic; Simulated; Synthesized;  Filtered,Simulated,no,
My comments,field for a coder to make comments about the article/ difficult aspects of coding the paper/ remaining uncertainties,string,,,no,not used in later coding iterations
1st Coder comments,field for the 1st coder to make comments about the article/ difficult aspects of coding the paper/ remaining uncertainties,,,,no,
2nd Coder comments,field for the second coder to make comments about the article/ difficult aspects of coding the paper/ remaining uncertainties,,,,no,
