name,value,section
modIC lo X.Intercept.,0.31,8
modIC lo isMetaTRUE,-0.39,8
modIC lo mean_agec_mos,-0.01,8
modIC lo test_langb.nonnative,-0.36,8
modIC lo test_langc.artificial,-2.75,8
modIC lo methodb.hpp,-0.23,8
modIC lo methodc.other,-1.93,8
modIC hi X.Intercept.,0.74,8
modIC hi isMetaTRUE,0.04,8
modIC hi mean_agec_mos,0.02,8
modIC hi test_langb.nonnative,0.12,8
modIC hi test_langc.artificial,2.39,8
modIC hi methodb.hpp,0.16,8
modIC hi methodc.other,2.4,8
modIC pval X.Intercept.,< 0.0001,8
modIC pval isMetaTRUE,0.10991,8
modIC pval mean_agec_mos,0.34578,8
modIC pval test_langb.nonnative,0.31288,8
modIC pval test_langc.artificial,0.53467,8
modIC pval methodb.hpp,0.68394,8
modIC pval methodc.other,0.46688,8
modIC avg for meta,0.35,8
modIC avg lo for meta,0.19,8
modIC avg hi for meta,0.52,8
modIC avg pval for meta,4e-04,8
mean mean_agec_mos drage,-3.37146459447903,9
mean mean_age mos drage,4.8,9
mean mean_age mos dma,8.2,9
Reps subset naiveageMatch tau,0.21,9
Reps subset naiveageMatch k,15,9
Reps subset naiveageMatch n subj,285,9
Reps subset naiveageMatch est X.Intercept.,0.18,9
Reps subset naiveageMatch lo X.Intercept.,-0.05,9
Reps subset naiveageMatch hi X.Intercept.,0.4,9
Reps subset naiveageMatch pval X.Intercept.,0.11617,9
Meta subset naiveageMatch tau,0.31,9
Meta subset naiveageMatch k,112,9
Meta subset naiveageMatch n subj,2257,9
Meta subset naiveageMatch est X.Intercept.,0.35,9
Meta subset naiveageMatch lo X.Intercept.,0.22,9
Meta subset naiveageMatch hi X.Intercept.,0.47,9
Meta subset naiveageMatch pval X.Intercept.,< 0.0001,9
naiveageMatch tau,0.3,9
naiveageMatch k,127,9
naiveageMatch n subj,2542,9
naiveageMatch est X.Intercept.,0.18,9
naiveageMatch est isMetaTRUE,0.17,9
naiveageMatch lo X.Intercept.,-0.04,9
naiveageMatch lo isMetaTRUE,-0.09,9
naiveageMatch hi X.Intercept.,0.4,9
naiveageMatch hi isMetaTRUE,0.42,9
naiveageMatch pval X.Intercept.,0.10435,9
naiveageMatch pval isMetaTRUE,0.18199,9
naiveageMatch avg for meta,0.34,9
naiveageMatch avg lo for meta,0.22,9
naiveageMatch avg hi for meta,0.47,9
naiveageMatch avg pval for meta,< 0.00001,9
modageMatch tau,0.33,9
modageMatch k,127,9
modageMatch n subj,2542,9
modageMatch est X.Intercept.,0.21,9
modageMatch est isMetaTRUE,0.17,9
modageMatch est mean_agec_mos,0,9
modageMatch est test_langb.nonnative,-0.01,9
modageMatch est test_langc.artificial,-0.19,9
modageMatch est methodb.hpp,-0.11,9
modageMatch est methodc.other,0.2,9
modageMatch lo X.Intercept.,-0.08,9
modageMatch lo isMetaTRUE,-0.14,9
modageMatch lo mean_agec_mos,-0.02,9
modageMatch lo test_langb.nonnative,-0.42,9
modageMatch lo test_langc.artificial,-2.82,9
modageMatch lo methodb.hpp,-0.37,9
modageMatch lo methodc.other,-1.99,9
modageMatch hi X.Intercept.,0.49,9
modageMatch hi isMetaTRUE,0.49,9
modageMatch hi mean_agec_mos,0.02,9
modageMatch hi test_langb.nonnative,0.39,9
modageMatch hi test_langc.artificial,2.44,9
modageMatch hi methodb.hpp,0.14,9
modageMatch hi methodc.other,2.38,9
modageMatch pval X.Intercept.,0.13607,9
modageMatch pval isMetaTRUE,0.24879,9
modageMatch pval mean_agec_mos,0.81052,9
modageMatch pval test_langb.nonnative,0.93800,9
modageMatch pval test_langc.artificial,0.52488,9
modageMatch pval methodb.hpp,0.36230,9
modageMatch pval methodc.other,0.53427,9
modageMatch avg for meta,0.38,9
modageMatch avg lo for meta,0.19,9
modageMatch avg hi for meta,0.57,9
modageMatch avg pval for meta,8e-04,9
k between-S studies,12,9
Reps subset naiveWithinS tau,0.11,9
Reps subset naiveWithinS k,104,9
Reps subset naiveWithinS n subj,2139,9
Reps subset naiveWithinS est X.Intercept.,0.35,9
Reps subset naiveWithinS lo X.Intercept.,0.28,9
Reps subset naiveWithinS hi X.Intercept.,0.43,9
Reps subset naiveWithinS pval X.Intercept.,< 0.0001,9
Meta subset naiveWithinS tau,0.31,9
Meta subset naiveWithinS k,100,9
Meta subset naiveWithinS n subj,1838,9
Meta subset naiveWithinS est X.Intercept.,0.37,9
Meta subset naiveWithinS lo X.Intercept.,0.24,9
Meta subset naiveWithinS hi X.Intercept.,0.5,9
Meta subset naiveWithinS pval X.Intercept.,< 0.0001,9
naiveWithinS tau,0.27,9
naiveWithinS k,204,9
naiveWithinS n subj,3977,9
naiveWithinS est X.Intercept.,0.35,9
naiveWithinS est isMetaTRUE,0,9
naiveWithinS lo X.Intercept.,0.28,9
naiveWithinS lo isMetaTRUE,-0.14,9
naiveWithinS hi X.Intercept.,0.43,9
naiveWithinS hi isMetaTRUE,0.14,9
naiveWithinS pval X.Intercept.,< 0.0001,9
naiveWithinS pval isMetaTRUE,0.95844,9
naiveWithinS avg for meta,0.36,9
naiveWithinS avg lo for meta,0.23,9
naiveWithinS avg hi for meta,0.48,9
naiveWithinS avg pval for meta,1e-05,9
modWithinS tau,0.29,9
modWithinS k,204,9
modWithinS n subj,3977,9
modWithinS est X.Intercept.,0.35,9
modWithinS est isMetaTRUE,-0.02,9
modWithinS est mean_agec_mos,0.01,9
modWithinS est test_langb.nonnative,-0.04,9
modWithinS est test_langc.artificial,-0.17,9
modWithinS est methodb.hpp,0.04,9
modWithinS est methodc.other,0.26,9
modWithinS lo X.Intercept.,0.22,9
modWithinS lo isMetaTRUE,-0.19,9
modWithinS lo mean_agec_mos,0,9
modWithinS lo test_langb.nonnative,-0.19,9
modWithinS lo test_langc.artificial,-2.69,9
modWithinS lo methodb.hpp,-0.13,9
modWithinS lo methodc.other,-1.84,9
modWithinS hi X.Intercept.,0.48,9
modWithinS hi isMetaTRUE,0.16,9
modWithinS hi mean_agec_mos,0.02,9
modWithinS hi test_langb.nonnative,0.1,9
modWithinS hi test_langc.artificial,2.34,9
modWithinS hi methodb.hpp,0.21,9
modWithinS hi methodc.other,2.36,9
modWithinS pval X.Intercept.,< 0.0001,9
modWithinS pval isMetaTRUE,0.84475,9
modWithinS pval mean_agec_mos,0.15664,9
modWithinS pval test_langb.nonnative,0.54061,9
modWithinS pval test_langc.artificial,0.54397,9
modWithinS pval methodb.hpp,0.62448,9
modWithinS pval methodc.other,0.42633,9
modWithinS avg for meta,0.33,9
modWithinS avg lo for meta,0.17,9
modWithinS avg hi for meta,0.49,9
modWithinS avg pval for meta,5e-04,9
Perc reportedSignif when pvalSignif was 0,29,9
Perc reportedSignif when pvalSignif was 1,97,9
Worst reportedSignif mu ,0.04,9
Worst reportedSignif mu lo,-0.13,9
Worst reportedSignif mu hi,0.2,9
Worst reportedSignif mu pval,0.618,9
Corr MA reportedSignif est,0.17,9
Corr MA reportedSignif lo,0.02,9
Corr MA reportedSignif hi,0.32,9
Corr MA reportedSignif pval,0.034657,9
mod1Int tau,0.27,1
mod1Int k,214,1
mod1Int n subj,4261,1
mod1Int est X.Intercept.,0.49,1
mod1Int est mean_agec_mos,0.04,1
mod1Int est isMetaTRUE,-0.25,1
mod1Int est test_lang_bother,-0.09,1
mod1Int est method_bother,-0.24,1
mod1Int est mean_agec_mos.isMetaTRUE,-0.04,1
mod1Int est isMetaTRUE.test_lang_bother,0.18,1
mod1Int est isMetaTRUE.method_bother,0.38,1
mod1Int lo X.Intercept.,0.4,1
mod1Int lo mean_agec_mos,0.02,1
mod1Int lo isMetaTRUE,-0.44,1
mod1Int lo test_lang_bother,-0.2,1
mod1Int lo method_bother,-0.34,1
mod1Int lo mean_agec_mos.isMetaTRUE,-0.07,1
mod1Int lo isMetaTRUE.test_lang_bother,-0.15,1
mod1Int lo isMetaTRUE.method_bother,0.12,1
mod1Int hi X.Intercept.,0.58,1
mod1Int hi mean_agec_mos,0.07,1
mod1Int hi isMetaTRUE,-0.05,1
mod1Int hi test_lang_bother,0.01,1
mod1Int hi method_bother,-0.13,1
mod1Int hi mean_agec_mos.isMetaTRUE,-0.02,1
mod1Int hi isMetaTRUE.test_lang_bother,0.52,1
mod1Int hi isMetaTRUE.method_bother,0.63,1
mod1Int pval X.Intercept.,< 0.0001,1
mod1Int pval mean_agec_mos,0.00036602,1
mod1Int pval isMetaTRUE,0.01487531,1
mod1Int pval test_lang_bother,0.08341173,1
mod1Int pval method_bother,< 0.0001,1
mod1Int pval mean_agec_mos.isMetaTRUE,0.00248745,1
mod1Int pval isMetaTRUE.test_lang_bother,0.21408648,1
mod1Int pval isMetaTRUE.method_bother,0.00492674,1
