"","study_type","study_id","short_cite","mean_age","age_group","n","d_calc","d_var_calc","native_lang","prop_nae","infant_type","main_question_ids_preference","same_infant","method","dependent_measure","presentation","response_mode","num_trials","participant_design","setting","speaker","speaker_experience","speaker_fam","speaker_female","speech_type","exposure_phase","test_lang","original_ma","group_name_1","group_name_2","t","n_1","n_2","mean_age_1","mean_age_2","x_1","x_2","sd_1","sd_2","r","corr","gender_1","prop_female","own_mother","isMeta","isRep","mean_agec_mos","test_lang_a.native","test_lang_b.nonnative","test_lang_c.artificial","method_a.cf","method_b.hpp","method_c.other","speech_type_a.simulated","speech_type_b.naturalistic","speech_type_c.filtered","speech_type_d.synthesized","own_mother_a.no","own_mother_b.yes","presentation_a.tape recording","presentation_b.video recording","dependent_measure_a.preference","dependent_measure_b.affect","main_question_ids_preference_a.yes","main_question_ids_preference_b.no","unique","yi","vi","sei","lo","hi","studyTypePretty","sourcePretty","pval","affirm"
"11","MB","babylabpotsdam","ManyBabies Consortium (2020)",306.996632996633,"9-12 mo",36,0.596494460016606,0.0580264280613229,"german",0,"typical","a.yes","3","a.cf","a.preference","a.tape recording","behavior",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,5.34631179487019,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,"babylabpotsdam, #3",0.596494460016606,0.0580264280613229,0.240886753602856,0.124365098602235,1.06862382143098,"Replications","Replications",0.0132772678114483,TRUE
"12","MB","babylabpotsdam","ManyBabies Consortium (2020)",306.996632996633,"9-12 mo",36,0.596494460016606,0.0580264280613229,"german",0,"typical","a.yes","4","a.cf","a.preference","a.tape recording","eye-tracking",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,5.34631179487019,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,"babylabpotsdam, #4",0.596494460016606,0.0580264280613229,0.240886753602856,0.124365098602235,1.06862382143098,"Replications","Replications",0.0132772678114483,TRUE
"13","MB","babylabshimane","ManyBabies Consortium (2020)",230.358974358974,"6-9 mo",10,-0.0705822570789465,0.200124546375359,"japanese",0,"typical","a.yes","1","a.cf","a.preference","a.tape recording","eye-tracking",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,2.82864889612977,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,"babylabshimane, #1",-0.0705822570789465,0.200124546375359,0.447352820909133,-0.947377674443244,0.806213160285351,"Replications","Replications",0.874632045505378,FALSE
"14","MB","babylabuclajohnson","ManyBabies Consortium (2020)",405.17094017094,"12-15 mo",12,0.504558347978569,0.17197039846906,"english",1,"typical","a.yes","1","a.cf","a.preference","a.tape recording","eye-tracking",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","a.native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,8.57148614356622,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,"babylabuclajohnson, #1",0.504558347978569,0.17197039846906,0.414693137716384,-0.308225266581452,1.31734196253859,"Replications","Replications",0.223717270977822,FALSE
"15","MB","babylabutrecht","ManyBabies Consortium (2020)",224.755208333333,"6-9 mo",20,0.0809851591166641,0.100081982449964,"dutch",0,"typical","a.yes","1","b.hpp","a.preference","a.tape recording","behavior",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,2.64455671394708,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,"babylabutrecht, #1",0.0809851591166641,0.100081982449964,0.316357365095179,-0.539063882713876,0.701034200947204,"Replications","Replications",0.797956515456028,FALSE
"16","MB","babylabutrecht","ManyBabies Consortium (2020)",325.650793650794,"9-12 mo",24,0.139178639534157,0.0835351113927352,"dutch",0,"typical","a.yes","2","b.hpp","a.preference","a.tape recording","behavior",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,5.95912916195826,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,"babylabutrecht, #2",0.139178639534157,0.0835351113927352,0.289024413143138,-0.427298800879218,0.705656079947532,"Replications","Replications",0.630128274693752,FALSE
"17","MB","babylabvuw","ManyBabies Consortium (2020)",227.021978021978,"6-9 mo",12,0.0657176973364115,0.16675664199465,"english",0,"typical","a.yes","1","a.cf","a.preference","a.tape recording","eye-tracking",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,2.7190235236923,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,"babylabvuw, #1",0.0657176973364115,0.16675664199465,0.408358472416883,-0.734650201382472,0.866085596055295,"Replications","Replications",0.872147437431471,FALSE
"18","MB","babylabyork","ManyBabies Consortium (2020)",218.90756302521,"6-9 mo",15,0.154973568192267,0.133733613447304,"english",0,"typical","a.yes","1","a.cf","a.preference","a.tape recording","eye-tracking",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,2.45245272879191,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,"babylabyork, #1",0.154973568192267,0.133733613447304,0.365696067038332,-0.561777552490808,0.871724688875343,"Replications","Replications",0.671728481313631,FALSE
"19","MB","babylabyork","ManyBabies Consortium (2020)",313.851485148515,"9-12 mo",12,0.363677168835238,0.169422105898584,"english",0,"typical","a.yes","2","a.cf","a.preference","a.tape recording","eye-tracking",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,5.5715040469031,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,"babylabyork, #2",0.363677168835238,0.169422105898584,0.411609166441399,-0.443061973096457,1.17041631076693,"Replications","Replications",0.376939324742889,FALSE
"20","MB","baldwinlabuoregon","ManyBabies Consortium (2020)",322.295918367347,"9-12 mo",11,0.50107457753637,0.187524448460301,"english",1,"typical","a.yes","1","a.cf","a.preference","a.tape recording","eye-tracking",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","a.native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,5.84891643911178,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,"baldwinlabuoregon, #1",0.50107457753637,0.187524448460301,0.43304093162229,-0.347670052274991,1.34981920734773,"Replications","Replications",0.247228756280426,FALSE
"21","MB","bchdosu","ManyBabies Consortium (2020)",141.274809160305,"3-6 mo",14,0.432345760692231,0.146195051014081,"english",1,"typical","a.yes","1","a.cf","a.preference","a.tape recording","eye-tracking",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","a.native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,-0.0979005519211222,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,"bchdosu, #1",0.432345760692231,0.146195051014081,0.382354614218373,-0.317055512498488,1.18174703388295,"Replications","Replications",0.25816222324112,FALSE
"22","MB","bchdosu","ManyBabies Consortium (2020)",241.038834951456,"6-9 mo",14,0.0673682625040657,0.142938187192729,"english",1,"non-typical","a.yes","2","a.cf","a.preference","a.tape recording","eye-tracking",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","a.native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,3.17949845567254,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,"bchdosu, #2",0.0673682625040657,0.142938187192729,0.378071669386545,-0.673638593068496,0.808375118076628,"Replications","Replications",0.858574444749812,FALSE
"23","MB","bllumanitoba","ManyBabies Consortium (2020)",410.622448979592,"12-15 mo",11,1.64605010773104,0.24339729448094,"english",1,"typical","a.yes","1","b.hpp","a.preference","a.tape recording","behavior",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","a.native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,8.75057644608435,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,"bllumanitoba, #1",1.64605010773104,0.24339729448094,0.49335311337919,0.679095773847123,2.61300444161496,"Replications","Replications",0.000848543835493931,TRUE
"24","MB","bllumanitoba","ManyBabies Consortium (2020)",166.542553191489,"3-6 mo",12,0.39965880816012,0.169994315894583,"english",1,"typical","a.yes","2","b.hpp","a.preference","a.tape recording","behavior",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","a.native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,0.732183023347734,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,"bllumanitoba, #2",0.39965880816012,0.169994315894583,0.412303669513846,-0.408441534780723,1.20775915110096,"Replications","Replications",0.332379970281131,FALSE
"25","MB","bllumanitoba","ManyBabies Consortium (2020)",234.769633507853,"6-9 mo",24,-0.0896362790419238,0.0834170277345883,"english",1,"typical","a.yes","3","b.hpp","a.preference","a.tape recording","behavior",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","a.native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,2.97354571442408,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,"bllumanitoba, #3",-0.0896362790419238,0.0834170277345883,0.288820061170599,-0.655713196948952,0.476440638865105,"Replications","Replications",0.756292250605782,FALSE
"26","MB","bllumanitoba","ManyBabies Consortium (2020)",313.816993464052,"9-12 mo",19,0.73101506372563,0.112294513465708,"english",1,"typical","a.yes","4","b.hpp","a.preference","a.tape recording","behavior",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","a.native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,5.57037094294573,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,"bllumanitoba, #4",0.73101506372563,0.112294513465708,0.335103735380117,0.0742238112957598,1.3878063161555,"Replications","Replications",0.0291494828908225,TRUE
"27","MB","chosunbaby","ManyBabies Consortium (2020)",404.703196347032,"12-15 mo",27,0.593539308576974,0.0773360084335744,"korean",0,"typical","a.yes","1","b.hpp","a.preference","a.tape recording","behavior",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,8.55612005211063,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,"chosunbaby, #1",0.593539308576974,0.0773360084335744,0.278093524616404,0.0484860159950201,1.13859260115893,"Replications","Replications",0.0328169666863098,TRUE
"28","MB","chosunbaby","ManyBabies Consortium (2020)",224.75845410628,"6-9 mo",27,0.19237441182636,0.0744167399474587,"korean",0,"typical","a.yes","2","b.hpp","a.preference","a.tape recording","behavior",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,2.64466334249329,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,"chosunbaby, #2",0.19237441182636,0.0744167399474587,0.272794318026345,-0.342292626692442,0.727041450345161,"Replications","Replications",0.480686103486868,FALSE
"29","MB","chosunbaby","ManyBabies Consortium (2020)",298.550724637681,"9-12 mo",17,0.57113884910385,0.122444111543466,"korean",0,"typical","a.yes","3","b.hpp","a.preference","a.tape recording","behavior",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,5.0688509420794,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,"chosunbaby, #3",0.57113884910385,0.122444111543466,0.349920150239259,-0.114692042829943,1.25696974103764,"Replications","Replications",0.102637854364889,FALSE
"30","MB","ethosrennes","ManyBabies Consortium (2020)",145.79704797048,"3-6 mo",32,-0.0764649238651632,0.0625456787857946,"french",0,"typical","a.yes","1","a.cf","a.preference","a.tape recording","eye-tracking",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,0.0506618268625285,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,"ethosrennes, #1",-0.0764649238651632,0.0625456787857946,0.250091340885275,-0.566634944845631,0.413705097115304,"Replications","Replications",0.759796533931463,FALSE
"31","MB","ethosrennes","ManyBabies Consortium (2020)",231.866666666667,"6-9 mo",17,0.243451034258758,0.118518653030613,"french",0,"typical","a.yes","2","a.cf","a.preference","a.tape recording","eye-tracking",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,2.87817886681611,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,"ethosrennes, #2",0.243451034258758,0.118518653030613,0.344265381690655,-0.431296714978862,0.918198783496377,"Replications","Replications",0.4794664629016,FALSE
"32","MB","infantcoglablouisville","ManyBabies Consortium (2020)",323.597122302158,"9-12 mo",13,-0.0571799853571766,0.153909029821643,"english",1,"typical","a.yes","1","a.cf","a.preference","a.tape recording","eye-tracking",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","a.native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,5.89166295471005,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,"infantcoglablouisville, #1",-0.0571799853571766,0.153909029821643,0.392312413545179,-0.82609818659371,0.711738215879357,"Replications","Replications",0.884117840773654,FALSE
"33","MB","infantcogubc","ManyBabies Consortium (2020)",138.040229885057,"3-6 mo",19,0.551854440589457,0.109270306889451,"english",1,"typical","a.yes","1","a.cf","a.preference","a.tape recording","eye-tracking",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","a.native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,-0.204161369110606,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,"infantcogubc, #1",0.551854440589457,0.109270306889451,0.330560594883073,-0.0960324200895016,1.19974130126842,"Replications","Replications",0.0950281983819963,FALSE
"34","MB","infantlanglabutk","ManyBabies Consortium (2020)",415.368421052632,"12-15 mo",23,0.890478774268095,0.095575570080674,"english",1,"typical","a.yes","1","b.hpp","a.preference","a.tape recording","behavior",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","a.native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,8.90648880065201,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,"infantlanglabutk, #1",0.890478774268095,0.095575570080674,0.309152988147736,0.284550051785595,1.4964074967506,"Replications","Replications",0.00397193308765154,TRUE
"35","MB","infantlanglabutk","ManyBabies Consortium (2020)",225.411504424779,"6-9 mo",30,0.52531621946292,0.0689663094202568,"english",1,"typical","a.yes","2","b.hpp","a.preference","a.tape recording","behavior",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","a.native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,2.6661170323257,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,"infantlanglabutk, #2",0.52531621946292,0.0689663094202568,0.262614373978761,0.0106015046420147,1.04003093428382,"Replications","Replications",0.0454643092889735,TRUE
"36","MB","infantllmadison","ManyBabies Consortium (2020)",410.097222222222,"12-15 mo",12,1.19303692971482,0.196319523242987,"english",1,"typical","a.yes","1","b.hpp","a.preference","a.tape recording","behavior",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","a.native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,8.73332195339809,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,"infantllmadison, #1",1.19303692971482,0.196319523242987,0.443079590190055,0.324616890657549,2.0614569687721,"Replications","Replications",0.00708968748444749,TRUE
"37","MB","infantllmadison","ManyBabies Consortium (2020)",226.292134831461,"6-9 mo",18,0.676500804529204,0.117467407479565,"english",1,"typical","a.yes","2","b.hpp","a.preference","a.tape recording","behavior",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","a.native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,2.69504707196703,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,"infantllmadison, #2",0.676500804529204,0.117467407479565,0.34273518564566,0.00475218442906233,1.34824942462935,"Replications","Replications",0.0484011384424132,TRUE
"38","MB","infantllmadison","ManyBabies Consortium (2020)",315.841807909605,"9-12 mo",18,1.06944459333181,0.126995996363981,"english",1,"typical","a.yes","3","b.hpp","a.preference","a.tape recording","behavior",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","a.native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,5.63688915731998,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,"infantllmadison, #3",1.06944459333181,0.126995996363981,0.356364976343048,0.370982074347964,1.76790711231565,"Replications","Replications",0.00269111181821069,TRUE
"39","MB","islnotredame","ManyBabies Consortium (2020)",409.802469135802,"12-15 mo",20,0.600747905675451,0.104511225577168,"english",1,"typical","a.yes","1","b.hpp","a.preference","a.tape recording","behavior",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","a.native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a.no",FALSE,TRUE,8.72363886908732,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,"islnotredame, #1",0.600747905675451,0.104511225577168,0.323281959869659,-0.0328730925206038,1.23436890387151,"Replications","Replications",0.0631294796665636,FALSE
