study_type,study_id,expt_num,short_cite,mean_age,age_group,n,d_calc,d_var_calc,native_lang,prop_nae,infant_type,main_question_ids_preference,same_infant,method,dependent_measure,presentation,response_mode,effect_significance_reported,unique_study_id,num_trials,participant_design,setting,speaker,speaker_experience,speaker_fam,speaker_female,speech_type,exposure_phase,test_lang,original_ma,group_name_1,group_name_2,t,n_1,n_2,mean_age_1,mean_age_2,x_1,x_2,sd_1,sd_2,r,corr,gender_1,es_method,prop_female,unique_infants
MB,infantcogubc,NA,ManyBabies Consortium (2020),140.85344827586206,3-6 mo,28,0.3353204198814508,0.07243249807133458,english,1,typical,yes,1,singlescreen,looking_time,tape recording,eye-tracking,NA,infantcogubc_singlescreen_3-6 mo,16,within_two,laboratory,unfamiliar mother,1,0,1,naturalistic,test_only,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
MB,lancaster,NA,ManyBabies Consortium (2020),225.31481481481484,6-9 mo,19,0.22717694507153685,0.1059422284785794,english,0,typical,yes,1,eyetracking,looking_time,tape recording,eye-tracking,NA,lancaster_eyetracking_6-9 mo,16,within_two,laboratory,unfamiliar mother,1,0,1,naturalistic,test_only,nonnative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
MB,langlabucla,NA,ManyBabies Consortium (2020),155.12820512820517,3-6 mo,29,0.42533286095719874,0.07052506933284514,english,1,typical,yes,1,hpp,looking_time,tape recording,behavior,NA,langlabucla_hpp_3-6 mo,16,within_two,laboratory,unfamiliar mother,1,0,1,naturalistic,test_only,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
MB,ldlottawa,NA,ManyBabies Consortium (2020),147.35766423357666,3-6 mo,12,0.28255623908756317,0.1683299589218189,english,1,typical,yes,1,singlescreen,looking_time,tape recording,eye-tracking,NA,ldlottawa_singlescreen_3-6 mo,16,within_two,laboratory,unfamiliar mother,1,0,1,naturalistic,test_only,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
MB,minddevlabbicocca,NA,ManyBabies Consortium (2020),144.75,3-6 mo,11,0.498240237567761,0.18746007578026316,italian,0,typical,yes,1,singlescreen,looking_time,tape recording,eye-tracking,NA,minddevlabbicocca_singlescreen_3-6 mo,16,within_two,laboratory,unfamiliar mother,1,0,1,naturalistic,test_only,nonnative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
MB,socialcogumiami,NA,ManyBabies Consortium (2020),135.6068376068376,3-6 mo,18,-0.28437012832864705,0.1122342551373007,english,1,typical,yes,1,eyetracking,looking_time,tape recording,eye-tracking,NA,socialcogumiami_eyetracking_3-6 mo,16,within_two,laboratory,unfamiliar mother,1,0,1,naturalistic,test_only,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
MB,unlvmusiclab,NA,ManyBabies Consortium (2020),139.89285714285717,3-6 mo,20,0.812014922883943,0.10824210293732772,english,1,typical,yes,1,singlescreen,looking_time,tape recording,eye-tracking,NA,unlvmusiclab_singlescreen_3-6 mo,16,within_two,laboratory,unfamiliar mother,1,0,1,naturalistic,test_only,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
MB,wsigoettingen,NA,ManyBabies Consortium (2020),147.29591836734693,3-6 mo,12,-0.3841716342015899,0.16974141342760665,german,0,typical,yes,1,singlescreen,looking_time,tape recording,eye-tracking,NA,wsigoettingen_singlescreen_3-6 mo,16,within_two,laboratory,unfamiliar mother,1,0,1,naturalistic,test_only,nonnative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
MA,Cooper1997,3,Cooper et al. (1997),126,3-6 mo,23,0.34,0.04599130434782608,english,1,typical,yes,Cooper1997_3,CF,looking_time,Tape recording,eye-tracking,significant,NA,NA,within_two,Laboratory,Child’s mother,1,1,1,Naturalistic,test_only,native,yes,NA,NA,NA,23,NA,126,NA,NA,NA,NA,NA,NA,NA,0.47826087,reported_d,0.47826087,TRUE
MA,Fernald1985,1,Fernald (1985),123,3-6 mo,48,0.65,0.025234375,english,1,typical,yes,Fernald1985,CHT,target_selection,Tape recording,behavior,significant,NA,NA,within_two,Laboratory,Unfamiliar mother,1,0,1,Naturalistic,conditioning,native,yes,NA,NA,NA,48,NA,123,NA,NA,NA,NA,NA,NA,NA,0.4375,reported_d,0.4375,TRUE
MA,Fernald1987,1,Fernald & Kuhl (1987),124,3-6 mo,20,1.54,0.10929,english,1,typical,yes,Fernald1987_1,CHT,target_selection,Tape recording,behavior,significant,NA,NA,within_two,Laboratory,Unfamiliar mother,1,0,1,filtered/synthesized,conditioning,artificial,yes,NA,NA,NA,20,NA,124,NA,NA,NA,NA,NA,NA,NA,0.45,reported_d,0.45,TRUE
MA,Fernald1987,2,Fernald & Kuhl (1987),122,3-6 mo,20,0,0.05,english,1,typical,yes,Fernald1987_2,CHT,target_selection,Tape recording,behavior,non-significant,NA,NA,within_two,Laboratory,Unfamiliar mother,1,0,1,filtered/synthesized,conditioning,artificial,yes,NA,NA,NA,20,NA,122,NA,NA,NA,NA,NA,NA,NA,0.5,reported_d,0.5,TRUE
MA,Fernald1987,3,Fernald & Kuhl (1987),125,3-6 mo,20,0.8,0.066,english,1,typical,yes,Fernald1987_3,CHT,target_selection,Tape recording,behavior,non-significant,NA,NA,within_two,Laboratory,Unfamiliar mother,1,0,1,filtered/synthesized,conditioning,artificial,yes,NA,NA,NA,20,NA,125,NA,NA,NA,NA,NA,NA,NA,0.5,reported_d,0.5,TRUE
MA,Glenn1983,1,Glenn & Cunningham (1983),372,9-12 mo,10,2.56,0.42768000000000006,english,0,non-typical,yes,Glenn1983_1_sample2,FC,target_selection,Tape recording,behavior,significant,NA,NA,within_two,Home,Child’s mother,1,0,1,Naturalistic,conditioning,native,yes,NA,NA,NA,10,NA,372,NA,NA,NA,NA,NA,NA,NA,0.5,reported_d,0.5,TRUE
MA,Glenn1983,1,Glenn & Cunningham (1983),279,6-9 mo,10,2.39,0.385605,english,0,typical,yes,Glenn1983_1_sample1,FC,target_selection,Tape recording,behavior,significant,NA,NA,within_two,Home,Child’s mother,1,0,1,Naturalistic,conditioning,native,yes,NA,NA,NA,10,NA,279,NA,NA,NA,NA,NA,NA,NA,0.5,reported_d,0.5,TRUE
MA,Kaplan1995a,1,Kaplan et al. (1995a),124,3-6 mo,77,0.76,0.0557074644653592,english,1,typical,yes,Kaplan1995a_1_a,CF,looking_time,Tape recording,eye-tracking,significant,NA,NA,between,Laboratory,Unfamiliar mother,1,0,1,Simulated,test_only,native,yes,NA,NA,NA,38,39,124,NA,NA,NA,NA,NA,NA,NA,NA,reported_d,NA,TRUE
MA,Kaplan1995a,2,Kaplan et al. (1995a),126,3-6 mo,26,0.82,0.05139230769230769,english,1,typical,yes,Kaplan1995a_2_a,CF,looking_time,Tape recording,eye-tracking,non-significant,NA,NA,within_two,Laboratory,Unfamiliar female,0,0,1,Simulated,test_only,native,yes,NA,NA,NA,26,NA,126,NA,NA,NA,NA,NA,NA,NA,NA,reported_d,NA,TRUE
MA,Kaplan1995b,1,Kaplan et al. (1995b),124,3-6 mo,30,0.44,0.13656,english,1,typical,no,Kaplan1995b_1,CF,looking_time,Tape recording,eye-tracking,non-significant,NA,NA,between,Laboratory,Unfamiliar mother,1,0,1,Simulated,familiarization,native,yes,NA,NA,NA,15,15,124,NA,NA,NA,NA,NA,NA,NA,0.6,reported_d,0.6,TRUE
MA,Kaplan1995b,1,Kaplan et al. (1995b),124,3-6 mo,30,0.88,0.14624,english,1,typical,no,Kaplan1995b_1,CF,looking_time,Tape recording,eye-tracking,significant,NA,NA,between,Laboratory,Unfamiliar mother,1,0,1,Simulated,familiarization,native,yes,NA,NA,NA,15,15,124,NA,NA,NA,NA,NA,NA,NA,0.6,reported_d,0.6,FALSE
MA,Kaplan1995b,2,Kaplan et al. (1995b),121,3-6 mo,40,0.14,0.100245,english,1,typical,no,Kaplan1995b_2,CF,looking_time,Tape recording,eye-tracking,non-significant,NA,NA,between,Laboratory,Unfamiliar female,0,0,1,Simulated,familiarization,native,yes,NA,NA,NA,20,20,121,NA,NA,NA,NA,NA,NA,NA,0.55,reported_d,0.55,TRUE
MA,Kaplan1995b,2,Kaplan et al. (1995b),121,3-6 mo,40,0.36,0.10162,english,1,typical,no,Kaplan1995b_2,CF,looking_time,Tape recording,eye-tracking,non-significant,NA,NA,between,Laboratory,Unfamiliar female,0,0,1,Simulated,familiarization,native,yes,NA,NA,NA,20,20,121,NA,NA,NA,NA,NA,NA,NA,0.55,reported_d,0.55,FALSE
MA,Schachner2011,1,Schachner & Hannon (2011),156,3-6 mo,20,0.31,0.0524025,english,1,typical,no,Schachner2011,CF,looking_time,Video recording,eye-tracking,non-significant,NA,NA,within_two,Laboratory,Unfamiliar females,0,0,1,Simulated,test_only,native,yes,NA,NA,NA,20,NA,156,NA,NA,NA,NA,NA,NA,NA,0.5,reported_d,0.5,TRUE
MA,Schachner2011,1,Schachner & Hannon (2011),156,3-6 mo,20,1.26,0.08969,english,1,typical,no,Schachner2011,FC,target_selection,Video recording,behavior,significant,NA,NA,within_two,Laboratory,Unfamiliar females,0,0,1,Simulated,familiarization,native,yes,NA,NA,NA,20,NA,156,NA,NA,NA,NA,NA,NA,NA,0.5,reported_d,0.5,FALSE
MA,Singh2002,2,Singh et al. (2002),179,3-6 mo,12,-0.16,0.08439999999999999,english,1,typical,yes,Singh2002_2_happy,HPP,looking_time,Tape recording,behavior,non-significant,NA,NA,within_two,Laboratory,Unfamiliar mother,1,0,1,Simulated,familiarization,native,yes,NA,NA,NA,12,NA,179,NA,NA,NA,NA,NA,NA,NA,0.388888889,reported_d,0.388888889,TRUE
MA,Singh2002,2,Singh et al. (2002),179,3-6 mo,12,-0.3,0.08708333333333333,english,1,typical,yes,Singh2002_2_neutral,HPP,looking_time,Tape recording,behavior,non-significant,NA,NA,within_two,Laboratory,Unfamiliar mother,1,0,1,Simulated,familiarization,native,yes,NA,NA,NA,12,NA,179,NA,NA,NA,NA,NA,NA,NA,0.388888889,reported_d,0.388888889,TRUE
MA,Singh2002,2,Singh et al. (2002),179,3-6 mo,12,-0.54,0.09548333333333334,english,1,typical,yes,Singh2002_2_sad,HPP,looking_time,Tape recording,behavior,non-significant,NA,NA,within_two,Laboratory,Unfamiliar mother,1,0,1,Simulated,familiarization,native,yes,NA,NA,NA,12,NA,179,NA,NA,NA,NA,NA,NA,NA,0.388888889,reported_d,0.388888889,TRUE
MA,Singh2002,2A,Singh et al. (2002),189,3-6 mo,24,0.24,0.04286666666666666,english,1,typical,yes,Singh2002_2A,HPP,looking_time,Tape recording,behavior,non-significant,NA,NA,within_two,Laboratory,Unfamiliar mother,1,0,1,Simulated,familiarization,native,yes,NA,NA,NA,24,NA,189,NA,NA,NA,NA,NA,NA,NA,0.541666667,reported_d,0.541666667,TRUE
MA,Singh2002,3,Singh et al. (2002),187,3-6 mo,28,0.5,0.14732142857142858,english,1,typical,no,Singh2002_3,HPP,looking_time,Tape recording,behavior,not reported,NA,NA,between,Laboratory,Unfamiliar mother,1,0,1,Simulated,familiarization,native,yes,NA,NA,NA,14,14,187,187,NA,NA,NA,NA,NA,NA,0.428571429,reported_d,0.428571429,TRUE
MA,Singh2002,3,Singh et al. (2002),187,3-6 mo,28,0.61,0.1495017857142857,english,1,typical,no,Singh2002_3,HPP,looking_time,Tape recording,behavior,not reported,NA,NA,between,Laboratory,Unfamiliar mother,1,0,1,Simulated,familiarization,native,yes,NA,NA,NA,14,14,187,187,NA,NA,NA,NA,NA,NA,0.428571429,reported_d,0.428571429,FALSE
MA,Singh2009,1,Singh et al. (2009),224,6-9 mo,32,0.29,0.1263140625,english,1,typical,no,Singh2009,HPP,looking_time,Tape recording,behavior,not reported,NA,NA,between,Laboratory,Unfamiliar mother,1,0,1,Simulated,familiarization,native,yes,NA,NA,NA,16,16,224,224,NA,NA,NA,NA,NA,NA,0.375,reported_d,0.375,TRUE
MA,Singh2009,1,Singh et al. (2009),224,6-9 mo,32,0.29,0.1263140625,english,1,typical,no,Singh2009,HPP,looking_time,Tape recording,behavior,not reported,NA,NA,between,Laboratory,Unfamiliar mother,1,0,1,Simulated,familiarization,native,yes,NA,NA,NA,16,16,224,224,NA,NA,NA,NA,NA,NA,0.375,reported_d,0.375,FALSE
MA,Trainor1996,2,Trainor et al. (1996),179,3-6 mo,30,2.27,0.119215,english,1,typical,yes,Trainor1996_2_playsongs,HPP,looking_time,Tape recording,behavior,significant,NA,NA,within_two,Laboratory,Unfamiliar mother,1,0,1,Naturalistic,test_only,native,yes,NA,NA,NA,30,NA,179,NA,NA,NA,NA,NA,NA,NA,NA,reported_d,NA,TRUE
MA,Trainor1996,2,Trainor et al. (1996),179,3-6 mo,30,1.94,0.09606,english,1,typical,yes,Trainor1996_2_lullabies,HPP,looking_time,Tape recording,behavior,significant,NA,NA,within_two,Laboratory,Unfamiliar mother,1,0,1,Naturalistic,test_only,native,yes,NA,NA,NA,30,NA,179,NA,NA,NA,NA,NA,NA,NA,NA,reported_d,NA,TRUE
MA,Werker1989,1,Werker & McLeod (1989),154,3-6 mo,12,3.15,0.4967708333333333,english,1,typical,yes,Werker1989_1,CF,looking_time,Video recording,eye-tracking,significant,NA,NA,within_two,Laboratory,Unfamiliar female,0,0,NA,Simulated,test_only,native,yes,NA,NA,NA,12,NA,154,NA,NA,NA,NA,NA,NA,NA,NA,reported_d,NA,TRUE
MA,Werker1989,2,Werker & McLeod (1989),132,3-6 mo,16,0.66,0.0761125,english,1,typical,yes,Werker1989_2_4m.o.,CF,looking_time,Video recording,eye-tracking,significant,NA,NA,within_two,Laboratory living room like setting,Unfamiliar female,0,0,NA,Simulated,test_only,native,yes,NA,NA,NA,16,NA,132,NA,NA,NA,NA,NA,NA,NA,NA,reported_d,NA,TRUE
MA,Werker1989,2,Werker & McLeod (1989),132,3-6 mo,16,0.54,0.0716125,english,1,typical,yes,Werker1989_2_4m.o.,CF,facial_expression,Video recording,other,significant,NA,NA,within_two,Laboratory living room like setting,Unfamiliar female,0,0,NA,Simulated,test_only,native,yes,NA,NA,NA,16,NA,132,NA,NA,NA,NA,NA,NA,NA,NA,reported_d,NA,FALSE
MA,Werker1989,2,Werker & McLeod (1989),249,6-9 mo,16,1.27,0.112903125,english,1,typical,yes,Werker1989_2_8m.o.,CF,looking_time,Video recording,eye-tracking,significant,NA,NA,within_two,Laboratory living room like setting,Unfamiliar female,0,0,NA,Simulated,test_only,native,yes,NA,NA,NA,16,NA,249,NA,NA,NA,NA,NA,NA,NA,NA,reported_d,NA,TRUE
MA,Werker1989,2,Werker & McLeod (1989),249,6-9 mo,16,1.17,0.105278125,english,1,typical,yes,Werker1989_2_8m.o.,CF,facial_expression,Video recording,other,significant,NA,NA,within_two,Laboratory living room like setting,Unfamiliar female,0,0,NA,Simulated,test_only,native,yes,NA,NA,NA,16,NA,249,NA,NA,NA,NA,NA,NA,NA,NA,reported_d,NA,FALSE
MA,Werker1989,3,Werker & McLeod (1989),142,3-6 mo,16,1.15,0.103828125,english,1,typical,yes,Werker1989_3,CF,facial_expression,Tape recording,other,significant,NA,NA,within_two,Laboratory,Unfamiliar female,0,0,1,Simulated,test_only,native,yes,NA,NA,NA,16,NA,142,NA,NA,NA,NA,NA,NA,NA,NA,reported_d,NA,TRUE
MA,Werker1994,1,Werker et al. (1994),142,3-6 mo,10,0.62,0.11922,english,1,typical,yes,Werker1994_1_5m.o.,CF,looking_time,Video recording,eye-tracking,significant,NA,NA,within_two,Laboratory living room like setting,Unfamiliar mother,1,0,1,Naturalistic,test_only,nonnative,yes,NA,NA,NA,10,NA,142,NA,NA,NA,NA,NA,NA,NA,NA,reported_d,NA,TRUE
MA,Werker1994,1,Werker et al. (1994),142,3-6 mo,10,0.72,0.12592,english,1,typical,yes,Werker1994_1_5m.o.,CF,facial_expression,Video recording,other,significant,NA,NA,within_two,Laboratory living room like setting,Unfamiliar mother,1,0,1,Naturalistic,test_only,nonnative,yes,NA,NA,NA,10,NA,142,NA,NA,NA,NA,NA,NA,NA,NA,reported_d,NA,FALSE
MA,Werker1994,1,Werker et al. (1994),262,6-9 mo,10,0.73,0.126645,english,1,typical,yes,Werker1994_1_9m.o.,CF,looking_time,Video recording,eye-tracking,significant,NA,NA,within_two,Laboratory living room like setting,Unfamiliar mother,1,0,1,Naturalistic,test_only,nonnative,yes,NA,NA,NA,10,NA,262,NA,NA,NA,NA,NA,NA,NA,NA,reported_d,NA,TRUE
MA,Werker1994,1,Werker et al. (1994),262,6-9 mo,10,0.53,0.114045,english,1,typical,yes,Werker1994_1_9m.o.,CF,facial_expression,Video recording,other,significant,NA,NA,within_two,Laboratory living room like setting,Unfamiliar mother,1,0,1,Naturalistic,test_only,nonnative,yes,NA,NA,NA,10,NA,262,NA,NA,NA,NA,NA,NA,NA,NA,reported_d,NA,FALSE
MA,Werker1994,2,Werker et al. (1994),142,3-6 mo,10,0.24,0.10288,cantonese,0,typical,yes,Werker1994_2_5m.o.,CF,looking_time,Video recording,eye-tracking,significant,NA,NA,within_two,Laboratory living room like setting,Unfamiliar mother,1,0,1,Naturalistic,test_only,native,yes,NA,NA,NA,10,NA,142,NA,NA,NA,NA,NA,NA,NA,NA,reported_d,NA,TRUE
MA,Werker1994,2,Werker et al. (1994),142,3-6 mo,10,0.74,0.12738,cantonese,0,typical,yes,Werker1994_2_5m.o.,CF,facial_expression,Video recording,other,significant,NA,NA,within_two,Laboratory living room like setting,Unfamiliar mother,1,0,1,Naturalistic,test_only,native,yes,NA,NA,NA,10,NA,142,NA,NA,NA,NA,NA,NA,NA,NA,reported_d,NA,FALSE
MA,Werker1994,2,Werker et al. (1994),262,6-9 mo,10,0.4,0.108,cantonese,0,typical,yes,Werker1994_2_9m.o.,CF,looking_time,Video recording,eye-tracking,significant,NA,NA,within_two,Laboratory living room like setting,Unfamiliar mother,1,0,1,Naturalistic,test_only,native,yes,NA,NA,NA,10,NA,262,NA,NA,NA,NA,NA,NA,NA,NA,reported_d,NA,TRUE
MA,Werker1994,2,Werker et al. (1994),262,6-9 mo,10,1.23,0.175645,cantonese,0,typical,yes,Werker1994_2_9m.o.,CF,facial_expression,Video recording,other,significant,NA,NA,within_two,Laboratory living room like setting,Unfamiliar mother,1,0,1,Naturalistic,test_only,native,yes,NA,NA,NA,10,NA,262,NA,NA,NA,NA,NA,NA,NA,NA,reported_d,NA,FALSE
