"","study_type","study_id","expt_num","short_cite","mean_age","age_group","n","d_calc","d_var_calc","native_lang","prop_nae","infant_type","main_question_ids_preference","same_infant","method","dependent_measure","presentation","response_mode","effect_significance_reported","num_trials","participant_design","setting","speaker","speaker_experience","speaker_fam","speaker_female","speech_type","exposure_phase","test_lang","original_ma","group_name_1","group_name_2","t","n_1","n_2","mean_age_1","mean_age_2","x_1","x_2","sd_1","sd_2","r","corr","gender_1","es_method","prop_female","unique_infants","own_mother","isMeta","isRep","mean_agec_mos","test_lang_a.native","test_lang_b.nonnative","test_lang_c.artificial","method_a.cf","method_b.hpp","method_c.other","speech_type_a.simulated","speech_type_b.naturalistic","speech_type_c.filtered/synthesized","own_mother_a.no","own_mother_b.yes","presentation_a.tape recording","presentation_b.video recording","dependent_measure_a.preference","dependent_measure_b.affect","main_question_ids_preference_a.yes","main_question_ids_preference_b.no","unique","yi","vi","sei","lo","hi","studyTypePretty","sourcePretty","pval","affirm","pvalSignif","reportedSignif"
"11","MB","babylabnijmegen",NA,"ManyBabies Consortium (2020)",235.150442477876,"6-9 mo",27,0.487940311030265,0.0762785717326695,"dutch",0,"typical","a.yes","1","b.hpp","a.preference","a.tape recording","behavior",NA,16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,2.98605586455623,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,"babylabnijmegen, #1",0.487940311030265,0.0762785717326695,0.276185755846802,-0.0533738234724406,1.02925444553297,"Replications","Replications",0.0772767020280667,FALSE,0,NA
"12","MB","babylabnijmegen",NA,"ManyBabies Consortium (2020)",329.902912621359,"9-12 mo",22,-0.0246617250735111,0.0909160022804955,"dutch",0,"typical","a.yes","2","b.hpp","a.preference","a.tape recording","behavior",NA,16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,6.09881769581389,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,"babylabnijmegen, #2",-0.0246617250735111,0.0909160022804955,0.301522805572805,-0.615635564513682,0.566312114366659,"Replications","Replications",0.934813247251667,FALSE,0,NA
"13","MB","babylabparisdescartes1",NA,"ManyBabies Consortium (2020)",403.807407407407,"12-15 mo",15,0.54085485444389,0.138208732892925,"french",0,"typical","a.yes","1","b.hpp","a.preference","a.tape recording","behavior",NA,16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,8.52669203175503,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,"babylabparisdescartes1, #1",0.54085485444389,0.138208732892925,0.371764351293834,-0.187789884827921,1.2694995937157,"Replications","Replications",0.145715642980142,FALSE,0,NA
"14","MB","babylabplymouth",NA,"ManyBabies Consortium (2020)",319.977973568282,"9-12 mo",26,0.636359350332156,0.0808168579111073,"english",0,"typical","a.yes","1","b.hpp","a.preference","a.tape recording","behavior",NA,16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,5.77276844965498,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,"babylabplymouth, #1",0.636359350332156,0.0808168579111073,0.28428305948668,0.0791747923234051,1.19354390834091,"Replications","Replications",0.0251903643250107,TRUE,1,NA
"15","MB","babylabpotsdam",NA,"ManyBabies Consortium (2020)",308.148051948052,"9-12 mo",30,0.517638296608789,0.0688995783843004,"german",0,"typical","a.yes","1","b.hpp","a.preference","a.tape recording","behavior",NA,16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,5.38413764741352,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,"babylabpotsdam, #1",0.517638296608789,0.0688995783843004,0.262487291852959,0.00317265817753531,1.03210393504004,"Replications","Replications",0.0486037977692799,TRUE,1,NA
"16","MB","babylabpotsdam",NA,"ManyBabies Consortium (2020)",308.148051948052,"9-12 mo",15,0.647065080542316,0.140311553640954,"german",0,"typical","a.yes","2","a.cf","a.preference","a.tape recording","eye-tracking",NA,16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,5.38413764741352,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,"babylabpotsdam, #2",0.647065080542316,0.140311553640954,0.374581838375747,-0.0871018319369503,1.38123199302158,"Replications","Replications",0.0840899035112637,FALSE,0,NA
"17","MB","babylabprinceton",NA,"ManyBabies Consortium (2020)",414.589473684211,"12-15 mo",14,0.661734803794447,0.150676659831301,"english",1,"non-typical","a.yes","1","b.hpp","a.preference","a.tape recording","behavior",NA,16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","a.native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,8.88089920247787,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,"babylabprinceton, #1",0.661734803794447,0.150676659831301,0.388170915746274,-0.0990662109141821,1.42253581850308,"Replications","Replications",0.0882408511240333,FALSE,0,NA
"18","MB","babylabshimane",NA,"ManyBabies Consortium (2020)",148.845528455285,"3-6 mo",13,-0.0830792034807203,0.153978887577904,"japanese",0,"typical","a.yes","1","a.cf","a.preference","a.tape recording","eye-tracking",NA,16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,0.150809017559141,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,"babylabshimane, #1",-0.0830792034807203,0.153978887577904,0.392401436768399,-0.852171887028553,0.686013480067112,"Replications","Replications",0.83232554113908,FALSE,0,NA
"19","MB","babylabshimane",NA,"ManyBabies Consortium (2020)",230.796875,"6-9 mo",13,0.171613577747355,0.154412523462832,"japanese",0,"typical","a.yes","2","a.cf","a.preference","a.tape recording","eye-tracking",NA,16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,2.84303459392956,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,"babylabshimane, #2",0.171613577747355,0.154412523462832,0.392953589451517,-0.598561305173357,0.941788460668068,"Replications","Replications",0.662309095691156,FALSE,0,NA
"20","MB","babylabuclajohnson",NA,"ManyBabies Consortium (2020)",406.233695652174,"12-15 mo",22,0.40166117452452,0.0927424056718229,"english",1,"typical","a.yes","1","a.cf","a.preference","a.tape recording","eye-tracking",NA,16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","a.native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,8.60639926712843,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,"babylabuclajohnson, #1",0.40166117452452,0.0927424056718229,0.30453637824047,-0.19521915880907,0.998541507858109,"Replications","Replications",0.187193603410762,FALSE,0,NA
"21","MB","babylabutrecht",NA,"ManyBabies Consortium (2020)",226.671532846715,"6-9 mo",30,0.17460611782741,0.0669207274698563,"dutch",0,"typical","a.yes","1","b.hpp","a.preference","a.tape recording","behavior",NA,16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,2.70751087010286,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,"babylabutrecht, #1",0.17460611782741,0.0669207274698563,0.258690408538578,-0.332417766054155,0.681630001708976,"Replications","Replications",0.499700098794035,FALSE,0,NA
"22","MB","babylabutrecht",NA,"ManyBabies Consortium (2020)",325.44406779661,"9-12 mo",31,0.247010922646159,0.0650081806121492,"dutch",0,"typical","a.yes","2","b.hpp","a.preference","a.tape recording","behavior",NA,16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,5.95233790525052,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,"babylabutrecht, #2",0.247010922646159,0.0650081806121492,0.254967018675258,-0.252715251202898,0.746737096495215,"Replications","Replications",0.332647188613151,FALSE,0,NA
"23","MB","babylabvuw",NA,"ManyBabies Consortium (2020)",228.747747747748,"6-9 mo",13,0.0310848023342501,0.153864735864157,"english",0,"typical","a.yes","1","a.cf","a.preference","a.tape recording","eye-tracking",NA,16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,2.77571766711444,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,"babylabvuw, #1",0.0310848023342501,0.153864735864157,0.392255957079248,-0.737722746262365,0.799892350930866,"Replications","Replications",0.936836780978305,FALSE,0,NA
"24","MB","babylabyork",NA,"ManyBabies Consortium (2020)",220.4921875,"6-9 mo",16,0.207826269686768,0.125674871224561,"english",0,"typical","a.yes","1","a.cf","a.preference","a.tape recording","eye-tracking",NA,16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,2.50451003742496,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,"babylabyork, #1",0.207826269686768,0.125674871224561,0.354506517887275,-0.486993737656996,0.902646277030532,"Replications","Replications",0.557713546262106,FALSE,0,NA
"25","MB","babylabyork",NA,"ManyBabies Consortium (2020)",316.00826446281,"9-12 mo",16,0.431109931148335,0.12790399644898,"english",0,"typical","a.yes","2","a.cf","a.preference","a.tape recording","eye-tracking",NA,16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,5.64235750663684,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,"babylabyork, #2",0.431109931148335,0.12790399644898,0.35763668219155,-0.269845085497501,1.13206494779417,"Replications","Replications",0.228033089487669,FALSE,0,NA
"26","MB","babylingoslo",NA,"ManyBabies Consortium (2020)",228.044368600683,"6-9 mo",18,0.162128517001555,0.111476189667016,"norwegian",0,"typical","a.yes","1","a.cf","a.preference","a.tape recording","eye-tracking",NA,16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,2.75261059920822,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,"babylingoslo, #1",0.162128517001555,0.111476189667016,0.333880502076739,-0.492265242209005,0.816522276212115,"Replications","Replications",0.62725898388792,FALSE,0,NA
"27","MB","baldwinlabuoregon",NA,"ManyBabies Consortium (2020)",320.751879699248,"9-12 mo",16,0.596796991310606,0.130565103888084,"english",1,"typical","a.yes","1","a.cf","a.preference","a.tape recording","eye-tracking",NA,16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","a.native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,5.79819243556057,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,"baldwinlabuoregon, #1",0.596796991310606,0.130565103888084,0.361337935855183,-0.111412349213597,1.30500633183481,"Replications","Replications",0.098609765461753,FALSE,0,NA
"28","MB","bchdosu",NA,"ManyBabies Consortium (2020)",410.759398496241,"12-15 mo",15,0.250726236886461,0.134381060764387,"english",1,"typical","a.yes","1","a.cf","a.preference","a.tape recording","eye-tracking",NA,16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","a.native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,8.75507544466019,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,"bchdosu, #1",0.250726236886461,0.134381060764387,0.366580224186177,-0.467757799963064,0.969210273735986,"Replications","Replications",0.494000378490993,FALSE,0,NA
"29","MB","bchdosu",NA,"ManyBabies Consortium (2020)",139.670731707317,"3-6 mo",20,0.449769687075273,0.102528659642647,"english",1,"typical","a.yes","2","a.cf","a.preference","a.tape recording","eye-tracking",NA,16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","a.native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,-0.150596920284731,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,"bchdosu, #2",0.449769687075273,0.102528659642647,0.320200967585433,-0.177812677207052,1.0773520513576,"Replications","Replications",0.160125940064286,FALSE,0,NA
"30","MB","bchdosu",NA,"ManyBabies Consortium (2020)",242.388059701493,"6-9 mo",15,0.0466829153351576,0.133369654909736,"english",1,"non-typical","a.yes","3","a.cf","a.preference","a.tape recording","eye-tracking",NA,16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","a.native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,3.22382252761853,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,"bchdosu, #3",0.0466829153351576,0.133369654909736,0.365198103650247,-0.669092215041652,0.762458045711967,"Replications","Replications",0.898284284597989,FALSE,0,NA
"31","MB","bchdosu",NA,"ManyBabies Consortium (2020)",323.115384615385,"9-12 mo",16,0.325081261591709,0.12665121604122,"english",1,"typical","a.yes","4","a.cf","a.preference","a.tape recording","eye-tracking",NA,16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","a.native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,5.87583714371223,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,"bchdosu, #4",0.325081261591709,0.12665121604122,0.355880901484218,-0.372432488103005,1.02259501128642,"Replications","Replications",0.361003182958158,FALSE,0,NA
"32","MB","bcrlunlv",NA,"ManyBabies Consortium (2020)",409.786941580756,"12-15 mo",27,0.530296279902419,0.0766779087451699,"english",1,"typical","a.yes","1","a.cf","a.preference","a.tape recording","eye-tracking",NA,16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","a.native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,8.72312876543928,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,"bcrlunlv, #1",0.530296279902419,0.0766779087451699,0.276907762161283,-0.0124329609732791,1.07302552077812,"Replications","Replications",0.0554842531943123,FALSE,0,NA
"33","MB","bllumanitoba",NA,"ManyBabies Consortium (2020)",413.42748091603,"12-15 mo",16,1.75885181398566,0.173336870368135,"english",1,"typical","a.yes","1","b.hpp","a.preference","a.tape recording","behavior",NA,16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","a.native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,8.8427259840751,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,"bllumanitoba, #1",1.75885181398566,0.173336870368135,0.416337447712952,0.942845411052947,2.57485821691838,"Replications","Replications",0.0000239384355977812,TRUE,1,NA
"34","MB","bllumanitoba",NA,"ManyBabies Consortium (2020)",164.436363636364,"3-6 mo",13,0.491598589581393,0.158493637947662,"english",1,"typical","a.yes","2","b.hpp","a.preference","a.tape recording","behavior",NA,16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","a.native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,0.662991513652408,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,"bllumanitoba, #2",0.491598589581393,0.158493637947662,0.398112594560461,-0.288687757548907,1.27188493671169,"Replications","Replications",0.216896384326274,FALSE,0,NA
"35","MB","bllumanitoba",NA,"ManyBabies Consortium (2020)",234.230046948357,"6-9 mo",26,-0.102030159466746,0.0770231745523155,"english",1,"typical","a.yes","3","b.hpp","a.preference","a.tape recording","behavior",NA,16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","a.native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,2.95581948053786,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,"bllumanitoba, #3",-0.102030159466746,0.0770231745523155,0.277530493013498,-0.645979930384848,0.441919611451355,"Replications","Replications",0.713144777571633,FALSE,0,NA
"36","MB","bllumanitoba",NA,"ManyBabies Consortium (2020)",314.095238095238,"9-12 mo",23,0.635103430589402,0.0913408300820264,"english",1,"typical","a.yes","4","b.hpp","a.preference","a.tape recording","behavior",NA,16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","a.native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,5.57951169955498,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,"bllumanitoba, #4",0.635103430589402,0.0913408300820264,0.302226454967176,0.0427504636785208,1.22745639750028,"Replications","Replications",0.035604487129026,TRUE,1,NA
"37","MB","bounbcl",NA,"ManyBabies Consortium (2020)",407.599137931034,"12-15 mo",31,0.266733762613958,0.0650898943557919,"turkish",0,"typical","a.yes","1","a.cf","a.preference","a.tape recording","eye-tracking",NA,16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,8.65125610940375,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,"bounbcl, #1",0.266733762613958,0.0650898943557919,0.255127212103672,-0.23330638458535,0.766773909813266,"Replications","Replications",0.295795086795874,FALSE,0,NA
