"","study_type","study_id","expt_num","short_cite","mean_age","age_group","n","d_calc","d_var_calc","native_lang","prop_nae","infant_type","main_question_ids_preference","same_infant","method","dependent_measure","presentation","response_mode","effect_significance_reported","unique_study_id","num_trials","participant_design","setting","speaker","speaker_experience","speaker_fam","speaker_female","speech_type","exposure_phase","test_lang","original_ma","group_name_1","group_name_2","t","n_1","n_2","mean_age_1","mean_age_2","x_1","x_2","sd_1","sd_2","r","corr","gender_1","es_method","prop_female","unique_infants","own_mother","isMeta","isRep","mean_agec_mos","test_lang_a.native","test_lang_b.nonnative","test_lang_c.artificial","method_a.hpp","method_b.cf","method_c.other","speech_type_a.simulated","speech_type_b.naturalistic","speech_type_c.filtered/synthesized","own_mother_a.no","own_mother_b.yes","presentation_a.tape recording","presentation_b.video recording","dependent_measure_a.preference","dependent_measure_b.affect","main_question_ids_preference_a.yes","main_question_ids_preference_b.no","unique","yi","vi","sei","lo","hi","studyTypePretty","sourcePretty","pval","affirm"
"11","MB","infantcogubc",NA,"ManyBabies Consortium (2020)",140.853448275862,"3-6 mo",28,0.335320419881451,0.0724324980713346,"english",1,"typical","a.yes","1","b.cf","a.preference","a.tape recording","eye-tracking",NA,"infantcogubc_singlescreen_3-6 mo",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","a.native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,-1.19587883456432,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,"infantcogubc, #1",0.335320419881451,0.0724324980713346,0.269132863231777,-0.192170299108977,0.862811138871878,"Replications","Replications",0.212790488594975,FALSE
"12","MB","lancaster",NA,"ManyBabies Consortium (2020)",225.314814814815,"6-9 mo",19,0.227176945071537,0.105942228478579,"english",0,"typical","a.yes","1","b.cf","a.preference","a.tape recording","eye-tracking",NA,"lancaster_eyetracking_6-9 mo",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,1.57880469168248,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,"lancaster, #1",0.227176945071537,0.105942228478579,0.325487677921268,-0.410767181065722,0.865121071208796,"Replications","Replications",0.48520304474612,FALSE
"13","MB","langlabucla",NA,"ManyBabies Consortium (2020)",155.128205128205,"3-6 mo",29,0.425332860957199,0.0705250693328451,"english",1,"typical","a.yes","1","a.hpp","a.preference","a.tape recording","behavior",NA,"langlabucla_hpp_3-6 mo",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","a.native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,-0.726931500387478,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,"langlabucla, #1",0.425332860957199,0.0705250693328451,0.265565565035916,-0.0951660820472252,0.945831803961623,"Replications","Replications",0.109241547867086,FALSE
"14","MB","ldlottawa",NA,"ManyBabies Consortium (2020)",147.357664233577,"3-6 mo",12,0.282556239087563,0.168329958921819,"english",1,"typical","a.yes","1","b.cf","a.preference","a.tape recording","eye-tracking",NA,"ldlottawa_singlescreen_3-6 mo",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","a.native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,-0.98220551138053,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,"ldlottawa, #1",0.282556239087563,0.168329958921819,0.410280341866167,-0.521578454534905,1.08669093271003,"Replications","Replications",0.491017955580566,FALSE
"15","MB","lppparisdescartes2",NA,"ManyBabies Consortium (2020)",241.6,"6-9 mo",25,-0.0546947943251292,0.0800299152052627,"french",0,"typical","a.yes","1","a.hpp","a.preference","a.tape recording","behavior",NA,"lppparisdescartes2_hpp_6-9 mo",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,2.1137976346912,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,"lppparisdescartes2, #1",-0.0546947943251292,0.0800299152052627,0.282895590643019,-0.609159963370633,0.499770374720375,"Replications","Replications",0.846693363857894,FALSE
"16","MB","minddevlabbicocca",NA,"ManyBabies Consortium (2020)",144.75,"3-6 mo",11,0.498240237567761,0.187460075780263,"italian",0,"typical","a.yes","1","b.cf","a.preference","a.tape recording","eye-tracking",NA,"minddevlabbicocca_singlescreen_3-6 mo",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,-1.06787122207622,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,"minddevlabbicocca, #1",0.498240237567761,0.187460075780263,0.432966598919897,-0.350358702824036,1.34683917795956,"Replications","Replications",0.249831370624606,FALSE
"17","MB","socialcogumiami",NA,"ManyBabies Consortium (2020)",135.606837606838,"3-6 mo",18,-0.284370128328647,0.112234255137301,"english",1,"typical","a.yes","1","b.cf","a.preference","a.tape recording","eye-tracking",NA,"socialcogumiami_eyetracking_3-6 mo",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","a.native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,-1.36823792355987,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,"socialcogumiami, #1",-0.284370128328647,0.112234255137301,0.335013813352973,-0.940985136823898,0.372244880166604,"Replications","Replications",0.395975307657336,FALSE
"18","MB","unlvmusiclab",NA,"ManyBabies Consortium (2020)",139.892857142857,"3-6 mo",20,0.812014922883943,0.108242102937328,"english",1,"typical","a.yes","1","b.cf","a.preference","a.tape recording","eye-tracking",NA,"unlvmusiclab_singlescreen_3-6 mo",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","a.native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,-1.22743570489957,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,"unlvmusiclab, #1",0.812014922883943,0.108242102937328,0.329001676192277,0.167183486693772,1.45684635907411,"Replications","Replications",0.0135825578687956,TRUE
"19","MB","wsigoettingen",NA,"ManyBabies Consortium (2020)",147.295918367347,"3-6 mo",12,-0.38417163420159,0.169741413427607,"german",0,"typical","a.yes","1","b.cf","a.preference","a.tape recording","eye-tracking",NA,"wsigoettingen_singlescreen_3-6 mo",16,"within_two","laboratory","unfamiliar mother",1,0,1,"b.naturalistic","test_only","b.nonnative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"a.no",FALSE,TRUE,-0.984233956394648,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,"wsigoettingen, #1",-0.38417163420159,0.169741413427607,0.411996860943875,-1.19167064339514,0.423327374991962,"Replications","Replications",0.351097543799554,FALSE
"20","MA","Cooper1997","3","Cooper et al. (1997)",126,"3-6 mo",23,0.337173813282663,0.0459496995731211,"english",1,"typical","a.yes","3","b.cf","a.preference","a.tape recording","eye-tracking","significant",NA,10,"within_two","Laboratory","child’s mother",1,1,1,"b.naturalistic","test_only","a.native","yes",NA,NA,NA,23,NA,126,NA,23.72,19.9,12.76,9.69,NA,NA,0.47826087,"d_within_two",0.47826087,TRUE,"b.yes",TRUE,FALSE,-1.6838370565046,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,"Cooper1997, #1",0.337173813282663,0.0459496995731211,0.214358810346394,-0.0829617347651199,0.757309361330447,"Meta-analysis","Meta-analysis",0.1157324244104,FALSE
"21","MA","Fernald1985","1","Fernald (1985)",123,"3-6 mo",48,0.32,0.0219,"english",1,"typical","a.yes","1","c.other","a.preference","a.tape recording","behavior","significant",NA,15,"within_two","Laboratory","unfamiliar mother",1,0,1,"b.naturalistic","conditioning","a.native","yes",NA,NA,2.24,48,NA,123,NA,8.73,7.5,NA,NA,NA,NA,0.4375,"reported_d",0.4375,TRUE,"a.no",TRUE,FALSE,-1.78239159001314,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,"Fernald1985, #1",0.32,0.0219,0.147986485869487,0.0299518174971591,0.610048182502841,"Meta-analysis","Meta-analysis",0.0305904682121416,TRUE
"22","MA","Fernald1987","1","Fernald & Kuhl (1987)",124,"3-6 mo",20,0.771,0.064861025,"english",1,"typical","a.yes","1","c.other","a.preference","a.tape recording","behavior","significant",NA,15,"within_one","Laboratory","unfamiliar mother",1,0,1,"c.filtered/synthesized","conditioning","c.artificial","yes",NA,NA,3.45,20,NA,124,NA,9.8,7.5,NA,NA,NA,NA,0.45,"reported_d",0.45,TRUE,"a.no",TRUE,FALSE,-1.74954007884363,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,"Fernald1987, #1",0.771,0.064861025,0.254678277440382,0.271839748572152,1.27016025142785,"Meta-analysis","Meta-analysis",0.0024670903018944,TRUE
"23","MA","Fernald1987","2","Fernald & Kuhl (1987)",122,"3-6 mo",20,0.148,0.0505476,"english",1,"typical","a.yes","2","c.other","a.preference","a.tape recording","behavior","non-significant",NA,15,"within_one","Laboratory","unfamiliar mother",1,0,1,"c.filtered/synthesized","conditioning","c.artificial","yes",NA,NA,0.66,20,NA,122,NA,8.15,7.5,NA,NA,NA,NA,0.5,"reported_d",0.5,TRUE,"a.no",TRUE,FALSE,-1.81524310118265,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,"Fernald1987, #2",0.148,0.0505476,0.224827934207473,-0.292654653765189,0.588654653765189,"Meta-analysis","Meta-analysis",0.510357462714241,FALSE
"24","MA","Fernald1987","3","Fernald & Kuhl (1987)",125,"3-6 mo",20,0.246,0.0515129,"english",1,"typical","a.yes","3","c.other","a.preference","a.tape recording","behavior","non-significant",NA,15,"within_one","Laboratory","unfamiliar mother",1,0,1,"c.filtered/synthesized","conditioning","c.artificial","yes",NA,NA,1.1,20,NA,125,NA,8.6,7.5,NA,NA,NA,NA,0.5,"reported_d",0.5,TRUE,"a.no",TRUE,FALSE,-1.71668856767411,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,"Fernald1987, #3",0.246,0.0515129,0.226964534674473,-0.198842313729859,0.690842313729859,"Meta-analysis","Meta-analysis",0.278422540881879,FALSE
"25","MA","Kaplan1995a","1","Kaplan et al. (1995a)",124,"3-6 mo",77,0.76,0.0557776763776764,"english",1,"typical","a.yes","1","b.cf","a.preference","a.tape recording","eye-tracking","significant",NA,10,"between","Laboratory","unfamiliar mother; unfamiliar female",1,0,1,"a.simulated","test_only","a.native","yes","IDS","ADS",NA,40,37,124,124,7.218868,5.878491,NA,NA,NA,NA,NA,"reported_d",NA,TRUE,"a.no",TRUE,FALSE,-1.74954007884363,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,"Kaplan1995a, #1",0.76,0.0557776763776764,0.236172979778967,0.297109465511718,1.22289053448828,"Meta-analysis","Meta-analysis",0.00129096677235685,TRUE
"26","MA","Kaplan1995a","2","Kaplan et al. (1995a)",126,"3-6 mo",26,0.82,0.0513923076923077,"english",1,"typical","a.yes","2","b.cf","a.preference","a.tape recording","eye-tracking","non-significant",NA,NA,"within_two","Laboratory","unfamiliar mother; unfamiliar female",0,0,1,"a.simulated","test_only","a.native","yes",NA,NA,NA,26,NA,126,NA,6.330532,5.747899,NA,NA,NA,NA,NA,"reported_d",NA,TRUE,"a.no",TRUE,FALSE,-1.6838370565046,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,"Kaplan1995a, #2",0.82,0.0513923076923077,0.226698715682969,0.375678681919895,1.2643213180801,"Meta-analysis","Meta-analysis",0.000297881242786513,TRUE
"27","MA","Kaplan1995b","1","Kaplan et al. (1995b)",124,"3-6 mo",30,0.289838300546317,0.13473343734106,"english",1,"typical","b.no","1","b.cf","a.preference","a.tape recording","eye-tracking","non-significant",NA,NA,"between","Laboratory","unfamiliar mother",1,0,1,"a.simulated","familiarization","a.native","yes",NA,NA,NA,15,15,124,124,6.88,6.18,2.67,2.13,NA,NA,0.6,"classic_cohen_d_between",0.6,TRUE,"a.no",TRUE,FALSE,-1.74954007884363,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,"Kaplan1995b, #1",0.289838300546317,0.13473343734106,0.367060536343884,-0.42958713083365,1.00926373192628,"Meta-analysis","Meta-analysis",0.429749788426083,FALSE
"28","MA","Kaplan1995b","2","Kaplan et al. (1995b)",121,"3-6 mo",40,0.250361358897354,0.100783510125362,"english",1,"typical","b.no","2","b.cf","a.preference","a.tape recording","eye-tracking","non-significant",NA,NA,"between","Laboratory","unfamiliar female",0,0,1,"a.simulated","familiarization","a.native","yes",NA,NA,NA,20,20,121,121,6.17,5.52,2.41,2.77,NA,NA,0.55,"classic_cohen_d_between",0.55,TRUE,"a.no",TRUE,FALSE,-1.84809461235217,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,"Kaplan1995b, #2",0.250361358897354,0.100783510125362,0.317464187154018,-0.371857014305805,0.872579732100513,"Meta-analysis","Meta-analysis",0.430329070584553,FALSE
"29","MA","Schachner2011","1","Schachner & Hannon (2011)",158.2,"3-6 mo",20,0.305589079973386,0.0523346171449745,"english",1,"typical","b.no","1","c.other","a.preference","b.video recording","behavior","non-significant",NA,NA,"within_two","Laboratory","unfamiliar females",0,0,1,"a.simulated","familiarization","a.native","yes",NA,NA,1.43,20,NA,158.2,NA,46.65,43.47,7.815,12.47,NA,NA,0.5,"d_within_two",0.5,TRUE,"a.no",TRUE,FALSE,-0.626018396846256,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,"Schachner2011, #1",0.305589079973386,0.0523346171449745,0.228767605103901,-0.142787186859741,0.753965346806514,"Meta-analysis","Meta-analysis",0.181612776422881,FALSE
"30","MA","Schachner2011","1","Schachner & Hannon (2011)",158.2,"3-6 mo",20,1.26,0.08969,"english",1,"typical","b.no","1","c.other","a.preference","b.video recording","behavior","significant",NA,NA,"within_two","Laboratory","unfamiliar females",0,0,1,"a.simulated","familiarization","a.native","yes",NA,NA,NA,20,NA,158.2,NA,NA,NA,NA,NA,NA,NA,0.5,"reported_d",0.5,FALSE,"a.no",TRUE,FALSE,-0.626018396846256,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,"Schachner2011, #2",1.26,0.08969,0.299482887658043,0.673024326204181,1.84697567379582,"Meta-analysis","Meta-analysis",0.0000258494751406158,TRUE
"31","MA","Singh2002","1","Singh et al. (2002)",185,"3-6 mo",13,1.39510706935828,0.151781682114363,"english",1,"typical","a.yes","1","a.hpp","a.preference","a.tape recording","behavior","significant",NA,12,"within_two","Laboratory","unfamiliar mother",1,0,1,"a.simulated","familiarization","a.native","no",NA,NA,3.72,13,NA,185,NA,12.6,6.7,5.6,2.1,NA,NA,0.3076923,"d_within_two",0.3076923,TRUE,"a.no",TRUE,FALSE,0.254402102496715,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,"Singh2002, #1",1.39510706935828,0.151781682114363,0.389591686403038,0.6315213953321,2.15869274338445,"Meta-analysis","Meta-analysis",0.000342351476021019,TRUE
"32","MA","Singh2002","2","Singh et al. (2002)",179,"3-6 mo",12,-0.0427350427350426,0.0834094284948986,"english",1,"typical","a.yes","happy","a.hpp","a.preference","a.tape recording","behavior","non-significant",NA,12,"within_two","Laboratory","unfamiliar mother",1,0,1,"a.simulated","familiarization","a.native","yes",NA,NA,-0.09,12,NA,179,NA,5.9,6,2.34,2.34,NA,NA,0.388888889,"d_within_two",0.388888889,TRUE,"a.no",TRUE,FALSE,0.0572930354796322,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,"Singh2002, #2",-0.0427350427350426,0.0834094284948986,0.2888069052064,-0.60878617542606,0.523316089955975,"Meta-analysis","Meta-analysis",0.882365665391996,FALSE
"33","MA","Singh2002","2","Singh et al. (2002)",179,"3-6 mo",12,-0.134616815922349,0.084088403630378,"english",1,"typical","a.yes","neutral","a.hpp","a.preference","a.tape recording","behavior","non-significant",NA,12,"within_two","Laboratory","unfamiliar mother",1,0,1,"a.simulated","familiarization","a.native","yes",NA,NA,-0.54,12,NA,179,NA,5.9,6.3,3.22,2.7,NA,NA,0.388888889,"d_within_two",0.388888889,TRUE,"a.no",TRUE,FALSE,0.0572930354796322,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,"Singh2002, #3",-0.134616815922349,0.084088403630378,0.289980005570001,-0.702967183076276,0.433733551231577,"Meta-analysis","Meta-analysis",0.642484457058938,FALSE
"34","MA","Singh2002","2","Singh et al. (2002)",179,"3-6 mo",12,-0.173176220458303,0.0845829168055093,"english",1,"typical","a.yes","sad","a.hpp","a.preference","a.tape recording","behavior","non-significant",NA,12,"within_two","Laboratory","unfamiliar mother",1,0,1,"a.simulated","familiarization","a.native","yes",NA,NA,-0.99,12,NA,179,NA,7.1,7.4,1.64,1.82,NA,NA,0.388888889,"d_within_two",0.388888889,TRUE,"a.no",TRUE,FALSE,0.0572930354796322,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,"Singh2002, #4",-0.173176220458303,0.0845829168055093,0.290831423346084,-0.743195335789149,0.396842894872544,"Meta-analysis","Meta-analysis",0.55154121958717,FALSE
"35","MA","Singh2002","2A","Singh et al. (2002)",189,"3-6 mo",24,0.0495362209691309,0.041717788274748,"english",1,"typical","a.yes","2","a.hpp","a.preference","a.tape recording","behavior","non-significant",NA,12,"within_two","Laboratory","unfamiliar mother",1,0,1,"a.simulated","familiarization","a.native","yes",NA,NA,0.38,24,NA,189,NA,8.5,8.3,3.54,4.48,NA,NA,0.541666667,"d_within_two",0.541666667,TRUE,"a.no",TRUE,FALSE,0.38580814717477,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,"Singh2002, #5",0.0495362209691309,0.041717788274748,0.20424932870085,-0.350785107151019,0.44985754908928,"Meta-analysis","Meta-analysis",0.808370912600189,FALSE
"36","MA","Singh2002","3","Singh et al. (2002)",187,"3-6 mo",28,0.127774061341844,0.143148682334853,"english",1,"typical","b.no","3","a.hpp","a.preference","a.tape recording","behavior","not reported",NA,12,"between","Laboratory","unfamiliar mother",1,0,1,"a.simulated","familiarization","a.native","yes",NA,NA,NA,14,14,187,187,10.2,9.7,5.16,2,NA,NA,0.428571429,"classic_cohen_d_between",0.428571429,TRUE,"a.no",TRUE,FALSE,0.320105124835742,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,"Singh2002, #6",0.127774061341844,0.143148682334853,0.378349946920643,-0.613778208175257,0.869326330858945,"Meta-analysis","Meta-analysis",0.735578748688578,FALSE
