study_ID,long_cite,short_cite,doi,peer_reviewed,original_ma,coder,2nd coder,3rd coder,expt_num,expt_condition,stimulus_set,lab,main_question_IDS_preference,trial_control,response_mode,exposure_phase,method,dependent_measure,human_coded,participant_design,same_infant,native_lang,test_lang,infant_type,group_name_1,group_name_2,n_1,n_2,mean_age_1,mean_age_2,x_1,x_2,SD_1,SD_2,data_from_figure,t,F,d,d_var,r,corr,effect_significance_reported,age_range_1,age_range_2,n_excluded_1,n_excluded_2,fussers,non-criterion,criterion,criterion_definition,exclusionCriteria,gender_1,gender_2,num_trials,num_minimum_trials,mean_vocab,speaker_fam,speaker_experience,speaker_female,speaker,presentation,setting,speech_type,Coder 1 Comments,Coder 2 Comments,Coder 3 comments
Wang 2018,"Wang, Y., Bergeson, T.R., & Houston, D.M. (2018). Preference for Infant-Directed Speech in Infants With Hearing Aids: Effects of Early Auditory Experience. Journal of Speech, Language, and Hearing Research, 61(9), 2431-2439.",Wang et al. (2018),10.1044/2018_JSLHR-H-18-0086,yes,no,Heewon Hwang,Martin Zettersten,Alvaro Iturralde,1,HA_IDS_silence_VS_HA_ADS_silence,Wang et al. (2018),Houston,yes,Infant_controlled,eye-tracking,test_only,CF,looking_time,yes,within_two,Older_HA,American English,native,hearing loss,NA,NA,9,NA,534.83,NA,9.45,9.92,7.89,7.29,no,NA,NA,NA,NA,NA,NA,,278.526,NA,NA,NA,NA,NA,NA,NA,NA,0.33,NA,8,NA,NA,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,,added this row (IDS_siilence vs. ADS_silence) since IDS/ ADS preference were evaluated in the same context (silence)/design,"Data for this row comes from the section where IDS/ADS was compared against silent trials rather than the other speech type.Since mean lokking times for silent trials seem to fluctuate within participants when silence is compared to IDS and ADS, maybe mean time measures should be coded as an ADS/IDS effect (e.g. IDS - silence vs. ADS -silence? "
Wang 2018,"Wang, Y., Bergeson, T.R., & Houston, D.M. (2018). Preference for Infant-Directed Speech in Infants With Hearing Aids: Effects of Early Auditory Experience. Journal of Speech, Language, and Hearing Research, 61(9), 2431-2439.",Wang et al. (2018),10.1044/2018_JSLHR-H-18-0086,yes,no,Heewon Hwang,Martin Zettersten,Alvaro Iturralde,1,NH_IDS_silence_VS_NH_ADS_silence,Wang et al. (2018),Houston,yes,Infant_controlled,eye-tracking,test_only,CF,looking_time,yes,within_two,Older_NH,American English,native,typical,NA,NA,9,NA,533.92,NA,11.91,9.27,7.25,8.15,no,NA,NA,NA,NA,NA,NA,,287.96,NA,NA,NA,NA,NA,NA,NA,NA,0.67,NA,8,NA,NA,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,,added this row since IDS/ ADS preference were evaluated in the same context (silence)/design,"Data for this row comes from the section where IDS/ADS was compared against silent trials rather than the other speech type.Since mean lokking times for silent trials seem to fluctuate within participants when silence is compared to IDS and ADS, maybe mean time measures should be coded as an ADS/IDS effect (e.g. IDS - silence vs. ADS -silence? "
Wang 2018,"Wang, Y., Bergeson, T.R., & Houston, D.M. (2018). Preference for Infant-Directed Speech in Infants With Hearing Aids: Effects of Early Auditory Experience. Journal of Speech, Language, and Hearing Research, 61(9), 2431-2439.",Wang et al. (2018),10.1044/2018_JSLHR-H-18-0086,yes,no,Heewon Hwang,Martin Zettersten,Alvaro Iturralde,2,Younger_HA_IDS_silence_VS_Younger_HA_ADS_silence,Wang et al. (2018),Houston,yes,Infant_controlled,eye-tracking,test_only,CF,looking_time,yes,within_two,Younger_HA,American English,native,hearing loss,NA,NA,10,NA,300.14,NA,6.44,10.41,2.7,6.17,no,NA,NA,NA,NA,NA,NA,,239.56,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,8,NA,NA,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,,added this row since IDS/ ADS preference were evaluated in the same context (silence)/design,"Data for this row comes from the section where IDS/ADS was compared against silent trials rather than the other speech type.Since mean lokking times for silent trials seem to fluctuate within participants when silence is compared to IDS and ADS, maybe mean time measures should be coded as an ADS/IDS effect (e.g. IDS - silence vs. ADS -silence? "
Wang 2018,"Wang, Y., Bergeson, T.R., & Houston, D.M. (2018). Preference for Infant-Directed Speech in Infants With Hearing Aids: Effects of Early Auditory Experience. Journal of Speech, Language, and Hearing Research, 61(9), 2431-2439.",Wang et al. (2018),10.1044/2018_JSLHR-H-18-0086,yes,no,Heewon Hwang,Martin Zettersten,Alvaro Iturralde,2,Younger_NH_IDS_silence_VS_Younger_NH_ADS_silence,Wang et al. (2018),Houston,yes,Infant_controlled,eye-tracking,test_only,CF,looking_time,yes,within_two,Younger_NH,American English,native,typical,NA,NA,14,NA,276.7,NA,10.24,11.34,6.72,7.14,no,NA,NA,NA,NA,NA,NA,,67.88,NA,NA,NA,NA,NA,NA,NA,NA,0.71,NA,8,NA,NA,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,,added this row since IDS/ ADS preference were evaluated in the same context (silence)/design,"Data for this row comes from the section where IDS/ADS was compared against silent trials rather than the other speech type.Since mean lokking times for silent trials seem to fluctuate within participants when silence is compared to IDS and ADS, maybe mean time measures should be coded as an ADS/IDS effect (e.g. IDS - silence vs. ADS -silence? "
Kaplan2018,"Kaplan, S. P., Asherin, R. M., Vogeli, J. M., Fekri, S. M., Scheyer, K. E., & Everhart, K. D., (2018). Face Preferences for Infant‐ and Adult‐Directed Speakers in Infants of Depressed and Nondepressed Mothers: Association with Infant Cognitive Development. Infancy, 23(3), 325-341",Kaplan et al. 2018,10.1111/infa.12224,yes,no,John Muldowney,Christina Bergmann,Alexis Black,1,,Kaplan et al. (2018),,no,fixed_length,eye-tracking,test_only,CF,looking_time,yes,within_two,nonelevated,American English,native,typical,,,45,,274.8,,43.4,39,12.4,15.4,no,NA,NA,NA,NA,NA,NA,,NA,NA,4,NA,2.67,NA,NA,NA,excessive fussiness_2.67|equipment failure_0.67|mother diagnosed with depression with psychotic features_0.67,0.578,,2,NA,NA,0,0,1,Unfamiliar female,Tape recording,Laboratoy,Simulated,,"Results from familiarization only, made corrections on 2021-03-31; MZ: added exclusion info and corrected num_trials; also coded exposure_phase as test_only since innfants do not experience a pre-exposure to the IDS/ ADS stimuli",
Kaplan2018,"Kaplan, S. P., Asherin, R. M., Vogeli, J. M., Fekri, S. M., Scheyer, K. E., & Everhart, K. D., (2018). Face Preferences for Infant‐ and Adult‐Directed Speakers in Infants of Depressed and Nondepressed Mothers: Association with Infant Cognitive Development. Infancy, 23(3), 325-341",Kaplan et al. 2018,10.1111/infa.12224,yes,no,John Muldowney,Christina Bergmann,Alexis Black,1,,Kaplan et al. (2018),,no,fixed_length,eye-tracking,test_only,CF,looking_time,yes,within_two,elevated,American English,native,typical,,,21,,251.1,,42.8,44.9,13.2,21.3,no,NA,NA,NA,NA,NA,NA,,NA,NA,2,NA,1.33,NA,NA,NA,excessive fussiness_1.33|equipment failure_0.33|mother diagnosed with depression with psychotic features_0.33,0.571,,2,NA,NA,0,0,1,Unfamiliar female,Tape recording,Laboratoy,Simulated,,"Results from familiarization only, made corrections on 2021-03-31; MZ: added exclusion info and corrected num_trials; also coded exposure_phase as test_only since innfants do not experience a pre-exposure to the IDS/ ADS stimuli",
McCartney1997,"McCartney, J. (1997). Four-month-olds do not prefer but can discriminate infant directed and adult directed speech contours. (Unpublished master's thesis). Virginia Polytechnic Institute and State University, Blacksburg, VA. ",McCartney (1997),NA,no,no,Lucy Anderson,Martin Zettersten,Alexis Black,1,IDS_ADS,Cooper & Aslin (1990),Cooper,yes,infant_controlled,eye-tracking,familiarization,CF,looking_time,yes,within_two,IDS,American English,native,typical,NA,NA,24,NA,131.4,NA,8.52,9,3.64,3.07,no,NA,NA,NA,NA,NA,NA,,NA,NA,5,NA,5,NA,NA,NA,excessive crying or fussiness_5,0.58,NA,12,10,NA,0,1,1,Unfamiliar mother,Tape recording,Laboratory,simulated,Double-check that I used the right statistics. I ignored the fact that they did a pre-trial for some and not for others becasue it had no impact on the IDS v ADS data. But I left the exposure_phase column blank. ,"ADS vs. IDS is within-subjects, hence one row; removed t-value since this was for a IDS-first, ADS-first comparison; since we know that the Cooper & Aslin stimulus set is from a mother, I updated the speaker column to unfamiliar mother; human_coded should be yes",
McFayden2020,"McFayden, T.C., Panneton, R.K., Bruce, M., & Taylor, C. (2020). Exploring priming effects of social and non-social attention getters on older infants' preferences for infant-directed speech. Infant Behavior and Development, 59, 1-10. ",McFayden et al. (2020),10.1016/j.infbeh.2020.101431,yes,no,Lucy Anderson,Martin Zettersten,Alexis Black,1,social ,ManyBabies,Panneton,no,infant_controlled,eye-tracking,test_only,CF,looking_time,yes,within_two,social,American English,native,typical,NA,NA,10,NA,441.38,NA,8.79,5.99,4.39,4.45,yes,NA,NA,NA,NA,NA,NA,,NA,NA,2.5,NA,1.5,NA,NA,NA,fussiness_1.5|premature_0.5|developmental delay_0.5,0.6,NA,16,NA,NA,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Simulated,"The t for IDS vs. ADS is the number for the first block, but the article also includes a t for the second block; I wasn't sure which to include. ","reduced to two rows, one for each between-subjects condition; corrected participant_design to within_two; extracted relevant means from Figure 2 with WebPlotDigitizer (and comparing to overall means reported in the paper, they roughly make sense); corrected speaker columns; unified exclusion coding",
McFayden2020,"McFayden, T.C., Panneton, R.K., Bruce, M., & Taylor, C. (2020). Exploring priming effects of social and non-social attention getters on older infants' preferences for infant-directed speech. Infant Behavior and Development, 59, 1-10. ",McFayden et al. (2020),10.1016/j.infbeh.2020.101431,yes,no,Lucy Anderson,Martin Zettersten,Alexis Black,1,nonsocial,ManyBabies,Panneton,no,infant_controlled,eye-tracking,test_only,CF,looking_time,yes,within_two,nonsocial,American English,native,typical,NA,NA,10,NA,441.38,NA,8.57,5.97,4.23,4.13,yes,NA,NA,NA,NA,NA,NA,,NA,NA,2.5,NA,1.5,NA,NA,NA,fussiness_1.5|premature_0.5|developmental delay_0.5,0.7,NA,16,NA,NA,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Simulated,"The t for IDS vs. ADS is the number for the first block, but the article also includes a t for the second block; I wasn't sure which to include. ","reduced to two rows, one for each between-subjects condition; corrected participant_design to within_two; extracted relevant means from Figure 2 with WebPlotDigitizer (and comparing to overall means reported in the paper, they roughly make sense); corrected speaker columns; unified exclusion coding",
Wang2017,"Wang, Y., Bergeson, T.R., & Houston, D.M. (2017). Infant-directed speech enhances attention to speech in deaf infants with cochlear implants. Journal of Speech, Language, and Hearing Research, 60(11), 3321-3333. ",Wang et al. (2017),10.1044/2017_JSLHR-H-17-0149,yes,no,Lucy Anderson,Martin Zettersten,,1,CI_IDS_vs_ADS,Wang et al. (2017),Houston,yes,infant_controlled,eye-tracking,test_only,CF,looking_time,yes,within_two,CI,American English,native,deaf/ CI,NA,NA,12,NA,829,NA,6.83,3.78,4.09,2.77,NA,NA,NA,NA,NA,NA,NA,,341,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,8,NA,NA,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,"Want to make sure I have exptcond, group name, and avg and SD listed correctly","corrected SDs; participant design is within-subjects; chronological age might not meet criteria, since infants are older than 2 years of age; speaker was miscoded (should be speaker_fam=0 and speaker_female=1; speaker experience is unclear from the text); stimuli might be the same as Wang2018; something is confusing or wrong with the t-values reported (incorrect dfs, unclear whether different tests correspond to different groups)",
Wang2017,"Wang, Y., Bergeson, T.R., & Houston, D.M. (2017). Infant-directed speech enhances attention to speech in deaf infants with cochlear implants. Journal of Speech, Language, and Hearing Research, 60(11), 3321-3333. ",Wang et al. (2017),10.1044/2017_JSLHR-H-17-0149,yes,no,Lucy Anderson,Martin Zettersten,,1,NH-HEM_IDS_vs_ADS,Wang et al. (2017),Houston,yes,infant_controlled,eye-tracking,test_only,CF,looking_time,yes,within_two,NH-HEM,American English,native,typical,NA,NA,22,NA,356,NA,7.27,5.28,4.76,3.98,NA,NA,NA,NA,NA,NA,NA,,100,NA,NA,NA,NA,NA,NA,NA,NA,0.55,NA,8,NA,NA,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,"Want to make sure I have exptcond, group name, and avg and SD listed correctly","participant design is within-subjects; speaker was miscoded (should be speaker_fam=0 and speaker_female=1; speaker experience is unclear from the text); stimuli might be the same as Wang2018; something is confusing or wrong with the t-values reported (incorrect dfs, unclear whether different tests correspond to different groups)",
Wang2017,"Wang, Y., Bergeson, T.R., & Houston, D.M. (2017). Infant-directed speech enhances attention to speech in deaf infants with cochlear implants. Journal of Speech, Language, and Hearing Research, 60(11), 3321-3333. ",Wang et al. (2017),10.1044/2017_JSLHR-H-17-0149,yes,no,Lucy Anderson,Martin Zettersten,,1,NH-CAM_IDS_vs_ADS,Wang et al. (2017),Houston,yes,infant_controlled,eye-tracking,test_only,CF,looking_time,yes,within_two,NH-CAM,American English,native,typical,NA,NA,12,NA,839,NA,7.15,7.26,3.98,5.37,NA,-1.12,NA,NA,NA,NA,NA,,480,NA,NA,NA,NA,NA,NA,NA,NA,0.42,NA,8,NA,NA,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,"Want to make sure I have exptcond, group name, and avg and SD listed correctly","participant design is within-subjects; chronological age might not meet criteria, since infants are older than 2 years of age; speaker was miscoded (should be speaker_fam=0 and speaker_female=1; speaker experience is unclear from the text); stimuli might be the same as Wang2018",
Wang2017,"Wang, Y., Bergeson, T.R., & Houston, D.M. (2017). Infant-directed speech enhances attention to speech in deaf infants with cochlear implants. Journal of Speech, Language, and Hearing Research, 60(11), 3321-3333. ",Wang et al. (2017),10.1044/2017_JSLHR-H-17-0149,yes,no,Lucy Anderson,Martin Zettersten,,1,CI_IDS_silence_vs_ADS_silence,Wang et al. (2017),Houston,yes,infant_controlled,eye-tracking,test_only,CF,looking_time,yes,within_two,CI,American English,native,deaf/ CI,NA,NA,12,NA,829,NA,8.85,6.05,4.79,3.61,NA,NA,NA,NA,NA,NA,NA,,341,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,4,NA,NA,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,,added this row since IDS/ ADS preference were evaluated in the same context (silence)/design,
Wang2017,"Wang, Y., Bergeson, T.R., & Houston, D.M. (2017). Infant-directed speech enhances attention to speech in deaf infants with cochlear implants. Journal of Speech, Language, and Hearing Research, 60(11), 3321-3333. ",Wang et al. (2017),10.1044/2017_JSLHR-H-17-0149,yes,no,Lucy Anderson,Martin Zettersten,,1,NH-HEM_IDS_silence_vs_ADS_silence,Wang et al. (2017),Houston,yes,infant_controlled,eye-tracking,test_only,CF,looking_time,yes,within_two,NH-HEM,American English,native,typical,NA,NA,22,NA,356,NA,7.69,6.12,4.67,2.42,NA,NA,NA,NA,NA,NA,NA,,100,NA,NA,NA,NA,NA,NA,NA,NA,0.55,NA,4,NA,NA,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,,added this row since IDS/ ADS preference were evaluated in the same context (silence)/design,
Wang2017,"Wang, Y., Bergeson, T.R., & Houston, D.M. (2017). Infant-directed speech enhances attention to speech in deaf infants with cochlear implants. Journal of Speech, Language, and Hearing Research, 60(11), 3321-3333. ",Wang et al. (2017),10.1044/2017_JSLHR-H-17-0149,yes,no,Lucy Anderson,Martin Zettersten,,1,NH-CAM_IDS_silence_vs_ADS_silence,Wang et al. (2017),Houston,yes,infant_controlled,eye-tracking,test_only,CF,looking_time,yes,within_two,NH-CAM,American English,native,typical,NA,NA,12,NA,839,NA,11.61,8.46,5.52,4.57,NA,NA,NA,NA,NA,NA,NA,,480,NA,NA,NA,NA,NA,NA,NA,NA,0.42,NA,4,NA,NA,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,,added this row since IDS/ ADS preference were evaluated in the same context (silence)/design,
