name,value,section
MOD1 hi X.Intercept.,0.31,1
MOD1 hi isMetaTRUE,0.92,1
MOD1 hi mean_agec_mos,0.08,1
MOD1 hi test_langb.nonnative,-0.01,1
MOD1 hi test_langc.artificial,1.62,1
MOD1 hi methodb.hpp,0.39,1
MOD1 hi methodc.other,2.39,1
MOD1 hi speech_typeb.naturalistic,1.17,1
MOD1 hi speech_typec.filtered.synthesized,0.26,1
MOD1 hi own_motherb.yes,0.59,1
MOD1 hi presentationb.video.recording,1.2,1
MOD1 hi dependent_measureb.affect,1.03,1
MOD1 hi main_question_ids_preferenceb.no,0.47,1
MOD1 pval X.Intercept.,0.190374,1
MOD1 pval isMetaTRUE,0.021864,1
MOD1 pval mean_agec_mos,< 0.0001,1
MOD1 pval test_langb.nonnative,0.033999,1
MOD1 pval test_langc.artificial,0.446042,1
MOD1 pval methodb.hpp,0.271685,1
MOD1 pval methodc.other,0.331248,1
MOD1 pval speech_typeb.naturalistic,0.68378634,1
MOD1 pval speech_typec.filtered.synthesized,0.42855641,1
MOD1 pval own_motherb.yes,0.14248477,1
MOD1 pval presentationb.video.recording,0.92389381,1
MOD1 pval dependent_measureb.affect,0.4989559,1
MOD1 pval main_question_ids_preferenceb.no,0.36610851,1
MOD1 avg for meta,0.62,1
MOD1 avg lo for meta,0.31,1
MOD1 avg hi for meta,0.93,1
MOD1 avg pval for meta,1e-03,1
MA subset mods tau,0.54,1
MA subset mods k,51,1
MA subset mods n subj,1062,1
MA subset mods est X.Intercept.,0.76,1
MA subset mods est mean_agec_mos,0.09,1
MA subset mods est test_langb.nonnative,-0.29,1
MA subset mods est test_langc.artificial,-0.48,1
MA subset mods est methodb.hpp,-0.36,1
MA subset mods est methodc.other,0.55,1
MA subset mods lo X.Intercept.,0.36,1
MA subset mods lo mean_agec_mos,-0.03,1
MA subset mods lo test_langb.nonnative,-0.99,1
MA subset mods lo test_langc.artificial,-2.01,1
MA subset mods lo methodb.hpp,-2.19,1
MA subset mods lo methodc.other,-0.91,1
MA subset mods hi X.Intercept.,1.17,1
MA subset mods hi mean_agec_mos,0.22,1
MA subset mods hi test_langb.nonnative,0.41,1
MA subset mods hi test_langc.artificial,1.04,1
MA subset mods hi methodb.hpp,1.48,1
MA subset mods hi methodc.other,2.01,1
MA subset mods pval X.Intercept.,0.0056647,1
MA subset mods pval mean_agec_mos,0.1079321,1
MA subset mods pval test_langb.nonnative,0.2745921,1
MA subset mods pval test_langc.artificial,0.3406031,1
MA subset mods pval methodb.hpp,0.6023216,1
MA subset mods pval methodc.other,0.3085739,1
Reps subset mods tau,0,1
Reps subset mods k,114,1
Reps subset mods n subj,2354,1
Reps subset mods est X.Intercept.,0.1,1
Reps subset mods est mean_agec_mos,0.05,1
Reps subset mods est test_langb.nonnative,-0.1,1
Reps subset mods est methodb.hpp,0.21,1
Reps subset mods lo X.Intercept.,-0.05,1
Reps subset mods lo mean_agec_mos,0.03,1
Reps subset mods lo test_langb.nonnative,-0.22,1
Reps subset mods lo methodb.hpp,0.11,1
Reps subset mods hi X.Intercept.,0.24,1
Reps subset mods hi mean_agec_mos,0.07,1
Reps subset mods hi test_langb.nonnative,0.01,1
Reps subset mods hi methodb.hpp,0.31,1
Reps subset mods pval X.Intercept.,0.17962000,1
Reps subset mods pval mean_agec_mos,< 0.0001,1
Reps subset mods pval test_langb.nonnative,0.07887496,1
Reps subset mods pval methodb.hpp,0.00020564,1
MA k nonaffirmative,31,4
MA k affirmative,20,4
weightr mu ,0.95,4
weightr mu lo,0.64,4
weightr mu hi,1.26,4
weightr mu pval,< 0.0001,4
Perc pvals <0.025,39,4
Perc pvals >0.975,0,4
min n MA,10,1
min n MB,10,1
max n MA,77,1
max n MB,47,1
Worst mu ,0.3,4
Worst mu lo,0.13,4
Worst mu hi,0.47,4
Worst mu pval,0.004,4
sval est to reps,12.78,9
sval CI to reps,1.29,9
Corr MA est,0.42,4
Corr MA lo,0.2,4
Corr MA hi,0.65,4
Corr MA pval,0.0026227,4
k between-S studies,10,9
Reps subset naiveWithinS tau,0.14,9
Reps subset naiveWithinS k,114,9
Reps subset naiveWithinS n subj,2354,9
Reps subset naiveWithinS est X.Intercept.,0.35,9
Reps subset naiveWithinS lo X.Intercept.,0.27,9
Reps subset naiveWithinS hi X.Intercept.,0.43,9
Reps subset naiveWithinS pval X.Intercept.,< 0.0001,9
Meta subset naiveWithinS tau,0.53,9
Meta subset naiveWithinS k,41,9
Meta subset naiveWithinS n subj,705,9
Meta subset naiveWithinS est X.Intercept.,0.77,9
Meta subset naiveWithinS lo X.Intercept.,0.39,9
Meta subset naiveWithinS hi X.Intercept.,1.14,9
Meta subset naiveWithinS pval X.Intercept.,0.0010755,9
naiveWithinS tau,0.3,9
naiveWithinS k,155,9
naiveWithinS n subj,3059,9
naiveWithinS est X.Intercept.,0.35,9
naiveWithinS est isMetaTRUE,0.4,9
naiveWithinS lo X.Intercept.,0.27,9
naiveWithinS lo isMetaTRUE,0.06,9
naiveWithinS hi X.Intercept.,0.42,9
naiveWithinS hi isMetaTRUE,0.74,9
naiveWithinS pval X.Intercept.,< 0.0001,9
naiveWithinS pval isMetaTRUE,0.025222,9
naiveWithinS avg for meta,0.74,9
naiveWithinS avg lo for meta,0.4,9
naiveWithinS avg hi for meta,1.09,9
naiveWithinS avg pval for meta,7e-04,9
matched tau,0.47,6
matched k,11,6
matched n subj,242,6
matched est X.Intercept.,0.29,6
matched est isMetaTRUE,1.26,6
matched lo X.Intercept.,-0.02,6
matched lo isMetaTRUE,-2.39,6
matched hi X.Intercept.,0.59,6
matched hi isMetaTRUE,4.92,6
matched pval X.Intercept.,0.061236,6
matched pval isMetaTRUE,0.260270,6
matched avg for meta,1.55,6
matched avg lo for meta,-8.36,6
matched avg hi for meta,11.46,6
matched avg pval for meta,0.30,6
matched k total,11,6
matched k from MA,3,6
matched k from R,8,6
matched age diff mos,-0.371833708157241,6
pre-matching age diff mos,4.77964808879849,6
matched subclass 1 isMeta FALSE k,6,6
matched subclass 1 isMeta TRUE k,1,6
matched subclass 2 isMeta FALSE k,2,6
matched subclass 2 isMeta TRUE k,2,6
pre-matching mean_age mos,8.04129383891896,6
matched mean_age mos subclass 1,4.14547451276148,6
matched mean_age mos subclass 2,5.56475499970901,6
IPW robu est X.Intercept.,0.432564975753675,6
IPW robu est isMetaTRUE,0.379619782151044,6
IPW robu lo X.Intercept.,0.31,6
IPW robu lo isMetaTRUE,-0.08,6
IPW robu hi X.Intercept.,0.56,6
IPW robu hi isMetaTRUE,0.84,6
IPW robu pval X.Intercept.,0.0000017416570652351,6
IPW robu pval isMetaTRUE,0.0994086656017992,6
mean mean_agec_mos drage,0.0135463551886656,9
mean mean_age mos drage,4.8,9
mean mean_age mos dma,4.7,9
Reps subset naiveageMatch tau,0.21,9
Reps subset naiveageMatch k,14,9
Reps subset naiveageMatch n subj,270,9
Reps subset naiveageMatch est X.Intercept.,0.16,9
Reps subset naiveageMatch lo X.Intercept.,-0.08,9
Reps subset naiveageMatch hi X.Intercept.,0.39,9
Reps subset naiveageMatch pval X.Intercept.,0.16384,9
Meta subset naiveageMatch tau,0.49,9
Meta subset naiveageMatch k,51,9
Meta subset naiveageMatch n subj,1062,9
Meta subset naiveageMatch est X.Intercept.,0.7,9
Meta subset naiveageMatch lo X.Intercept.,0.4,9
Meta subset naiveageMatch hi X.Intercept.,1,9
Meta subset naiveageMatch pval X.Intercept.,0.00029996,9
naiveageMatch tau,0.47,9
naiveageMatch k,65,9
naiveageMatch n subj,1332,9
naiveageMatch est X.Intercept.,0.16,9
naiveageMatch est isMetaTRUE,0.54,9
naiveageMatch lo X.Intercept.,-0.07,9
naiveageMatch lo isMetaTRUE,0.18,9
naiveageMatch hi X.Intercept.,0.39,9
naiveageMatch hi isMetaTRUE,0.9,9
naiveageMatch pval X.Intercept.,0.1513386,9
naiveageMatch pval isMetaTRUE,0.0056112,9
naiveageMatch avg for meta,0.7,9
naiveageMatch avg lo for meta,0.4,9
naiveageMatch avg hi for meta,0.99,9
naiveageMatch avg pval for meta,3e-04,9
modageMatch tau,0.49,9
modageMatch k,65,9
modageMatch n subj,1332,9
modageMatch est X.Intercept.,0.33,9
modageMatch est isMetaTRUE,0.41,9
modageMatch est mean_agec_mos,0.09,9
modageMatch est test_langb.nonnative,-0.31,9
modageMatch est test_langc.artificial,-0.47,9
modageMatch est methodb.hpp,-0.25,9
modageMatch est methodc.other,0.55,9
modageMatch lo X.Intercept.,-0.05,9
modageMatch lo isMetaTRUE,0.03,9
modageMatch lo mean_agec_mos,-0.02,9
modageMatch lo test_langb.nonnative,-0.77,9
modageMatch lo test_langc.artificial,-2.04,9
modageMatch lo methodb.hpp,-1.52,9
modageMatch lo methodc.other,-0.9,9
modageMatch hi X.Intercept.,0.71,9
modageMatch hi isMetaTRUE,0.79,9
modageMatch hi mean_agec_mos,0.19,9
modageMatch hi test_langb.nonnative,0.14,9
modageMatch hi test_langc.artificial,1.1,9
modageMatch hi methodb.hpp,1.02,9
modageMatch hi methodc.other,2.01,9
modageMatch pval X.Intercept.,0.083839,9
modageMatch pval isMetaTRUE,0.035339,9
modageMatch pval mean_agec_mos,0.082933,9
modageMatch pval test_langb.nonnative,0.140482,9
modageMatch pval test_langc.artificial,0.353942,9
modageMatch pval methodb.hpp,0.639789,9
modageMatch pval methodc.other,0.297296,9
modageMatch avg for meta,0.74,9
modageMatch avg lo for meta,0.42,9
modageMatch avg hi for meta,1.06,9
modageMatch avg pval for meta,2e-03,9
Reps subset naiveIC tau,0.11,8
Reps subset naiveIC k,99,8
Reps subset naiveIC n subj,2008,8
Reps subset naiveIC est X.Intercept.,0.39,8
Reps subset naiveIC lo X.Intercept.,0.31,8
Reps subset naiveIC hi X.Intercept.,0.46,8
Reps subset naiveIC pval X.Intercept.,< 0.0001,8
Meta subset naiveIC tau,0.49,8
Meta subset naiveIC k,51,8
Meta subset naiveIC n subj,1062,8
Meta subset naiveIC est X.Intercept.,0.7,8
Meta subset naiveIC lo X.Intercept.,0.4,8
Meta subset naiveIC hi X.Intercept.,1,8
Meta subset naiveIC pval X.Intercept.,0.00029996,8
naiveIC tau,0.3,8
naiveIC k,150,8
naiveIC n subj,3070,8
naiveIC est X.Intercept.,0.39,8
naiveIC est isMetaTRUE,0.3,8
naiveIC lo X.Intercept.,0.32,8
naiveIC lo isMetaTRUE,0.02,8
naiveIC hi X.Intercept.,0.46,8
naiveIC hi isMetaTRUE,0.58,8
naiveIC pval X.Intercept.,< 0.0001,8
naiveIC pval isMetaTRUE,0.03973,8
naiveIC avg for meta,0.69,8
naiveIC avg lo for meta,0.4,8
naiveIC avg hi for meta,0.97,8
naiveIC avg pval for meta,2e-04,8
modIC tau,0.26,8
modIC k,150,8
modIC n subj,3070,8
modIC est X.Intercept.,0.18,8
modIC est isMetaTRUE,0.44,8
modIC est mean_agec_mos,0.05,8
modIC est test_langb.nonnative,-0.1,8
modIC est test_langc.artificial,-0.45,8
modIC est methodb.hpp,0.1,8
modIC est methodc.other,0.59,8
modIC lo X.Intercept.,-0.02,8
modIC lo isMetaTRUE,0.01,8
modIC lo mean_agec_mos,0.02,8
modIC lo test_langb.nonnative,-0.22,8
modIC lo test_langc.artificial,-2.49,8
modIC lo methodb.hpp,-0.17,8
modIC lo methodc.other,-1.24,8
modIC hi X.Intercept.,0.39,8
modIC hi isMetaTRUE,0.88,8
modIC hi mean_agec_mos,0.07,8
modIC hi test_langb.nonnative,0.01,8
modIC hi test_langc.artificial,1.59,8
modIC hi methodb.hpp,0.38,8
modIC hi methodc.other,2.42,8
modIC pval X.Intercept.,0.08177456,8
modIC pval isMetaTRUE,0.04443119,8
modIC pval mean_agec_mos,0.00073923,8
modIC pval test_langb.nonnative,0.08142165,8
modIC pval test_langc.artificial,0.43061720,8
modIC pval methodb.hpp,0.45308277,8
modIC pval methodc.other,0.32406651,8
modIC avg for meta,0.63,8
modIC avg lo for meta,0.32,8
modIC avg hi for meta,0.93,8
modIC avg pval for meta,9e-04,8
modWithinS tau,0.24,9
modWithinS k,155,9
modWithinS n subj,3059,9
modWithinS est X.Intercept.,0.1,9
modWithinS est isMetaTRUE,0.59,9
modWithinS est mean_agec_mos,0.05,9
modWithinS est test_langb.nonnative,-0.12,9
modWithinS est test_langc.artificial,-0.42,9
modWithinS est methodb.hpp,0.18,9
modWithinS est methodc.other,0.51,9
modWithinS lo X.Intercept.,-0.09,9
modWithinS lo isMetaTRUE,0.07,9
modWithinS lo mean_agec_mos,0.03,9
modWithinS lo test_langb.nonnative,-0.22,9
modWithinS lo test_langc.artificial,-2.43,9
modWithinS lo methodb.hpp,-0.09,9
modWithinS lo methodc.other,-1.28,9
modWithinS hi X.Intercept.,0.29,9
modWithinS hi isMetaTRUE,1.1,9
modWithinS hi mean_agec_mos,0.08,9
modWithinS hi test_langb.nonnative,-0.01,9
modWithinS hi test_langc.artificial,1.59,9
modWithinS hi methodb.hpp,0.44,9
modWithinS hi methodc.other,2.3,9
modWithinS pval X.Intercept.,0.308768,9
modWithinS pval isMetaTRUE,0.028606,9
modWithinS pval mean_agec_mos,< 0.0001,9
modWithinS pval test_langb.nonnative,0.028679,9
modWithinS pval test_langc.artificial,0.444282,9
modWithinS pval methodb.hpp,0.190459,9
modWithinS pval methodc.other,0.381208,9
modWithinS avg for meta,0.68,9
modWithinS avg lo for meta,0.27,9
modWithinS avg hi for meta,1.09,9
modWithinS avg pval for meta,5e-03,9
Perc reportedSignif when pvalSignif was 0,50,9
Perc reportedSignif when pvalSignif was 1,90,9
Worst reportedSignif mu ,0.18,9
Worst reportedSignif mu lo,-0.14,9
Worst reportedSignif mu hi,0.5,9
Worst reportedSignif mu pval,0.209,9
Corr MA reportedSignif est,0.41,9
Corr MA reportedSignif lo,0.04,9
Corr MA reportedSignif hi,0.78,9
Corr MA reportedSignif pval,0.033372,9
