name,value,section
IPW robu pval isMetaTRUE,0.311312915362459,6
Reps subset naiveIC tau,0.06,8
Reps subset naiveIC k,54,8
Reps subset naiveIC n subj,952,8
Reps subset naiveIC est X.Intercept.,0.42,8
Reps subset naiveIC lo X.Intercept.,0.31,8
Reps subset naiveIC hi X.Intercept.,0.53,8
Reps subset naiveIC pval X.Intercept.,< 0.0001,8
Meta subset naiveIC tau,0.31,8
Meta subset naiveIC k,112,8
Meta subset naiveIC n subj,2257,8
Meta subset naiveIC est X.Intercept.,0.35,8
Meta subset naiveIC lo X.Intercept.,0.22,8
Meta subset naiveIC hi X.Intercept.,0.47,8
Meta subset naiveIC pval X.Intercept.,< 0.0001,8
naiveIC tau,0.29,8
naiveIC k,166,8
naiveIC n subj,3209,8
naiveIC est X.Intercept.,0.43,8
naiveIC est isMetaTRUE,-0.09,8
naiveIC lo X.Intercept.,0.32,8
naiveIC lo isMetaTRUE,-0.25,8
naiveIC hi X.Intercept.,0.55,8
naiveIC hi isMetaTRUE,0.07,8
naiveIC pval X.Intercept.,< 0.0001,8
naiveIC pval isMetaTRUE,0.25218,8
naiveIC avg for meta,0.34,8
naiveIC avg lo for meta,0.22,8
naiveIC avg hi for meta,0.46,8
naiveIC avg pval for meta,< 0.00001,8
modIC tau,0.32,8
modIC k,166,8
modIC n subj,3209,8
modIC est X.Intercept.,0.53,8
modIC est isMetaTRUE,-0.17,8
modIC est mean_agec_mos,0.01,8
modIC est test_langb.nonnative,-0.14,8
modIC est test_langc.artificial,-0.18,8
modIC est methodb.hpp,-0.04,8
modIC est methodc.other,0.23,8
modIC lo X.Intercept.,0.31,8
modIC lo isMetaTRUE,-0.39,8
modIC lo mean_agec_mos,-0.01,8
modIC lo test_langb.nonnative,-0.39,8
modIC lo test_langc.artificial,-2.76,8
modIC lo methodb.hpp,-0.24,8
modIC lo methodc.other,-1.93,8
modIC hi X.Intercept.,0.74,8
modIC hi isMetaTRUE,0.05,8
modIC hi mean_agec_mos,0.02,8
modIC hi test_langb.nonnative,0.11,8
modIC hi test_langc.artificial,2.39,8
modIC hi methodb.hpp,0.16,8
modIC hi methodc.other,2.4,8
modIC pval X.Intercept.,< 0.0001,8
modIC pval isMetaTRUE,0.12261,8
modIC pval mean_agec_mos,0.35933,8
modIC pval test_langb.nonnative,0.26776,8
modIC pval test_langc.artificial,0.53371,8
modIC pval methodb.hpp,0.67462,8
modIC pval methodc.other,0.47026,8
modIC avg for meta,0.36,8
modIC avg lo for meta,0.19,8
modIC avg hi for meta,0.52,8
modIC avg pval for meta,4e-04,8
mean mean_agec_mos drage,-3.37146459447903,9
mean mean_age mos drage,4.8,9
mean mean_age mos dma,8.2,9
Reps subset naiveageMatch tau,0.21,9
Reps subset naiveageMatch k,15,9
Reps subset naiveageMatch n subj,285,9
Reps subset naiveageMatch est X.Intercept.,0.18,9
Reps subset naiveageMatch lo X.Intercept.,-0.05,9
Reps subset naiveageMatch hi X.Intercept.,0.4,9
Reps subset naiveageMatch pval X.Intercept.,0.11617,9
Meta subset naiveageMatch tau,0.31,9
Meta subset naiveageMatch k,112,9
Meta subset naiveageMatch n subj,2257,9
Meta subset naiveageMatch est X.Intercept.,0.35,9
Meta subset naiveageMatch lo X.Intercept.,0.22,9
Meta subset naiveageMatch hi X.Intercept.,0.47,9
Meta subset naiveageMatch pval X.Intercept.,< 0.0001,9
naiveageMatch tau,0.3,9
naiveageMatch k,127,9
naiveageMatch n subj,2542,9
naiveageMatch est X.Intercept.,0.18,9
naiveageMatch est isMetaTRUE,0.17,9
naiveageMatch lo X.Intercept.,-0.04,9
naiveageMatch lo isMetaTRUE,-0.09,9
naiveageMatch hi X.Intercept.,0.4,9
naiveageMatch hi isMetaTRUE,0.42,9
naiveageMatch pval X.Intercept.,0.10435,9
naiveageMatch pval isMetaTRUE,0.18199,9
naiveageMatch avg for meta,0.34,9
naiveageMatch avg lo for meta,0.22,9
naiveageMatch avg hi for meta,0.47,9
naiveageMatch avg pval for meta,< 0.00001,9
modageMatch tau,0.33,9
modageMatch k,127,9
modageMatch n subj,2542,9
modageMatch est X.Intercept.,0.21,9
modageMatch est isMetaTRUE,0.17,9
modageMatch est mean_agec_mos,0,9
modageMatch est test_langb.nonnative,-0.01,9
modageMatch est test_langc.artificial,-0.19,9
modageMatch est methodb.hpp,-0.11,9
modageMatch est methodc.other,0.2,9
modageMatch lo X.Intercept.,-0.08,9
modageMatch lo isMetaTRUE,-0.14,9
modageMatch lo mean_agec_mos,-0.02,9
modageMatch lo test_langb.nonnative,-0.42,9
modageMatch lo test_langc.artificial,-2.82,9
modageMatch lo methodb.hpp,-0.37,9
modageMatch lo methodc.other,-1.99,9
modageMatch hi X.Intercept.,0.49,9
modageMatch hi isMetaTRUE,0.49,9
modageMatch hi mean_agec_mos,0.02,9
modageMatch hi test_langb.nonnative,0.39,9
modageMatch hi test_langc.artificial,2.44,9
modageMatch hi methodb.hpp,0.14,9
modageMatch hi methodc.other,2.38,9
modageMatch pval X.Intercept.,0.13607,9
modageMatch pval isMetaTRUE,0.24879,9
modageMatch pval mean_agec_mos,0.81052,9
modageMatch pval test_langb.nonnative,0.93800,9
modageMatch pval test_langc.artificial,0.52488,9
modageMatch pval methodb.hpp,0.36230,9
modageMatch pval methodc.other,0.53427,9
modageMatch avg for meta,0.38,9
modageMatch avg lo for meta,0.19,9
modageMatch avg hi for meta,0.57,9
modageMatch avg pval for meta,8e-04,9
k between-S studies,12,9
Reps subset naiveWithinS tau,0.11,9
Reps subset naiveWithinS k,102,9
Reps subset naiveWithinS n subj,2004,9
Reps subset naiveWithinS est X.Intercept.,0.34,9
Reps subset naiveWithinS lo X.Intercept.,0.27,9
Reps subset naiveWithinS hi X.Intercept.,0.42,9
Reps subset naiveWithinS pval X.Intercept.,< 0.0001,9
Meta subset naiveWithinS tau,0.31,9
Meta subset naiveWithinS k,100,9
Meta subset naiveWithinS n subj,1838,9
Meta subset naiveWithinS est X.Intercept.,0.37,9
Meta subset naiveWithinS lo X.Intercept.,0.24,9
Meta subset naiveWithinS hi X.Intercept.,0.5,9
Meta subset naiveWithinS pval X.Intercept.,< 0.0001,9
naiveWithinS tau,0.27,9
naiveWithinS k,202,9
naiveWithinS n subj,3842,9
naiveWithinS est X.Intercept.,0.34,9
naiveWithinS est isMetaTRUE,0.01,9
naiveWithinS lo X.Intercept.,0.27,9
naiveWithinS lo isMetaTRUE,-0.13,9
naiveWithinS hi X.Intercept.,0.42,9
naiveWithinS hi isMetaTRUE,0.15,9
naiveWithinS pval X.Intercept.,< 0.0001,9
naiveWithinS pval isMetaTRUE,0.86147,9
naiveWithinS avg for meta,0.36,9
naiveWithinS avg lo for meta,0.23,9
naiveWithinS avg hi for meta,0.48,9
naiveWithinS avg pval for meta,1e-05,9
modWithinS tau,0.3,9
modWithinS k,202,9
modWithinS n subj,3842,9
modWithinS est X.Intercept.,0.35,9
modWithinS est isMetaTRUE,-0.01,9
modWithinS est mean_agec_mos,0.01,9
modWithinS est test_langb.nonnative,-0.06,9
modWithinS est test_langc.artificial,-0.17,9
modWithinS est methodb.hpp,0.04,9
modWithinS est methodc.other,0.26,9
modWithinS lo X.Intercept.,0.22,9
modWithinS lo isMetaTRUE,-0.19,9
modWithinS lo mean_agec_mos,0,9
modWithinS lo test_langb.nonnative,-0.2,9
modWithinS lo test_langc.artificial,-2.69,9
modWithinS lo methodb.hpp,-0.14,9
modWithinS lo methodc.other,-1.84,9
modWithinS hi X.Intercept.,0.48,9
modWithinS hi isMetaTRUE,0.16,9
modWithinS hi mean_agec_mos,0.02,9
modWithinS hi test_langb.nonnative,0.09,9
modWithinS hi test_langc.artificial,2.35,9
modWithinS hi methodb.hpp,0.21,9
modWithinS hi methodc.other,2.36,9
modWithinS pval X.Intercept.,< 0.0001,9
modWithinS pval isMetaTRUE,0.86413,9
modWithinS pval mean_agec_mos,0.16146,9
modWithinS pval test_langb.nonnative,0.42717,9
modWithinS pval test_langc.artificial,0.54319,9
modWithinS pval methodb.hpp,0.65441,9
modWithinS pval methodc.other,0.42943,9
modWithinS avg for meta,0.33,9
modWithinS avg lo for meta,0.17,9
modWithinS avg hi for meta,0.5,9
modWithinS avg pval for meta,5e-04,9
Perc reportedSignif when pvalSignif was 0,29,9
Perc reportedSignif when pvalSignif was 1,97,9
Worst reportedSignif mu ,0.04,9
Worst reportedSignif mu lo,-0.13,9
Worst reportedSignif mu hi,0.2,9
Worst reportedSignif mu pval,0.618,9
sval est to reps,1.02,9
sval CI to reps,--,9
Corr MA reportedSignif est,0.17,9
Corr MA reportedSignif lo,0.02,9
Corr MA reportedSignif hi,0.32,9
Corr MA reportedSignif pval,0.034657,9
mod1Int_age_restricted tau,0.27,1
mod1Int_age_restricted k,188,1
mod1Int_age_restricted n subj,3841,1
mod1Int_age_restricted est X.Intercept.,0.34,1
mod1Int_age_restricted est isMeta_c,0.03,1
mod1Int_age_restricted est mean_agec_mos,0.02,1
mod1Int_age_restricted est test_lang_c,0,1
mod1Int_age_restricted est method_c,0.05,1
mod1Int_age_restricted est isMeta_c.mean_agec_mos,-0.04,1
mod1Int_age_restricted est isMeta_c.test_lang_c,-0.19,1
mod1Int_age_restricted est isMeta_c.method_c,-0.36,1
mod1Int_age_restricted lo X.Intercept.,0.24,1
mod1Int_age_restricted lo isMeta_c,-0.16,1
mod1Int_age_restricted lo mean_agec_mos,0,1
mod1Int_age_restricted lo test_lang_c,-0.2,1
mod1Int_age_restricted lo method_c,-0.1,1
mod1Int_age_restricted lo isMeta_c.mean_agec_mos,-0.09,1
mod1Int_age_restricted lo isMeta_c.test_lang_c,-0.58,1
mod1Int_age_restricted lo isMeta_c.method_c,-0.67,1
mod1Int_age_restricted hi X.Intercept.,0.44,1
mod1Int_age_restricted hi isMeta_c,0.23,1
mod1Int_age_restricted hi mean_agec_mos,0.05,1
mod1Int_age_restricted hi test_lang_c,0.19,1
mod1Int_age_restricted hi method_c,0.21,1
mod1Int_age_restricted hi isMeta_c.mean_agec_mos,0,1
mod1Int_age_restricted hi isMeta_c.test_lang_c,0.2,1
mod1Int_age_restricted hi isMeta_c.method_c,-0.06,1
mod1Int_age_restricted pval X.Intercept.,0.00011328,1
mod1Int_age_restricted pval isMeta_c,0.69811661,1
mod1Int_age_restricted pval mean_agec_mos,0.05492283,1
mod1Int_age_restricted pval test_lang_c,0.98698438,1
mod1Int_age_restricted pval method_c,0.48627811,1
mod1Int_age_restricted pval isMeta_c.mean_agec_mos,0.06090287,1
mod1Int_age_restricted pval isMeta_c.test_lang_c,0.26507274,1
mod1Int_age_restricted pval isMeta_c.method_c,0.02139515,1
mod1Int_rep tau,0.27,1
mod1Int_rep k,214,1
mod1Int_rep n subj,4261,1
mod1Int_rep est X.Intercept.,0.32,1
mod1Int_rep est isMeta_rep,0.03,1
mod1Int_rep est mean_agec_mos,0.04,1
mod1Int_rep est test_lang_c,0.09,1
mod1Int_rep est method_c,0.24,1
mod1Int_rep est isMeta_rep.mean_agec_mos,-0.04,1
mod1Int_rep est isMeta_rep.test_lang_c,-0.18,1
mod1Int_rep est isMeta_rep.method_c,-0.38,1
mod1Int_rep lo X.Intercept.,0.26,1
mod1Int_rep lo isMeta_rep,-0.14,1
mod1Int_rep lo mean_agec_mos,0.02,1
mod1Int_rep lo test_lang_c,-0.01,1
mod1Int_rep lo method_c,0.13,1
mod1Int_rep lo isMeta_rep.mean_agec_mos,-0.07,1
mod1Int_rep lo isMeta_rep.test_lang_c,-0.52,1
mod1Int_rep lo isMeta_rep.method_c,-0.63,1
mod1Int_rep hi X.Intercept.,0.39,1
mod1Int_rep hi isMeta_rep,0.2,1
mod1Int_rep hi mean_agec_mos,0.07,1
mod1Int_rep hi test_lang_c,0.2,1
mod1Int_rep hi method_c,0.34,1
mod1Int_rep hi isMeta_rep.mean_agec_mos,-0.02,1
mod1Int_rep hi isMeta_rep.test_lang_c,0.15,1
mod1Int_rep hi isMeta_rep.method_c,-0.12,1
mod1Int_rep pval X.Intercept.,< 0.0001,1
mod1Int_rep pval isMeta_rep,0.65570063,1
mod1Int_rep pval mean_agec_mos,0.00036602,1
mod1Int_rep pval test_lang_c,0.08341173,1
mod1Int_rep pval method_c,< 0.0001,1
mod1Int_rep pval isMeta_rep.mean_agec_mos,0.00248745,1
mod1Int_rep pval isMeta_rep.test_lang_c,0.21408648,1
mod1Int_rep pval isMeta_rep.method_c,0.00492674,1
mod1Int_meta tau,0.27,1
mod1Int_meta k,214,1
mod1Int_meta n subj,4261,1
mod1Int_meta est X.Intercept.,0.35,1
mod1Int_meta est isMeta_meta,0.03,1
mod1Int_meta est mean_agec_mos,0,1
mod1Int_meta est test_lang_c,-0.09,1
mod1Int_meta est method_c,-0.14,1
mod1Int_meta est isMeta_meta.mean_agec_mos,-0.04,1
mod1Int_meta est isMeta_meta.test_lang_c,-0.18,1
mod1Int_meta est isMeta_meta.method_c,-0.38,1
mod1Int_meta lo X.Intercept.,0.16,1
mod1Int_meta lo isMeta_meta,-0.14,1
mod1Int_meta lo mean_agec_mos,-0.02,1
mod1Int_meta lo test_lang_c,-0.5,1
mod1Int_meta lo method_c,-0.39,1
mod1Int_meta lo isMeta_meta.mean_agec_mos,-0.07,1
mod1Int_meta lo isMeta_meta.test_lang_c,-0.52,1
mod1Int_meta lo isMeta_meta.method_c,-0.63,1
mod1Int_meta hi X.Intercept.,0.55,1
mod1Int_meta hi isMeta_meta,0.2,1
mod1Int_meta hi mean_agec_mos,0.02,1
mod1Int_meta hi test_lang_c,0.32,1
mod1Int_meta hi method_c,0.11,1
mod1Int_meta hi isMeta_meta.mean_agec_mos,-0.02,1
mod1Int_meta hi isMeta_meta.test_lang_c,0.15,1
mod1Int_meta hi isMeta_meta.method_c,-0.12,1
mod1Int_meta pval X.Intercept.,0.0111133,1
mod1Int_meta pval isMeta_meta,0.6557006,1
mod1Int_meta pval mean_agec_mos,0.8167092,1
mod1Int_meta pval test_lang_c,0.5064701,1
mod1Int_meta pval method_c,0.2412973,1
mod1Int_meta pval isMeta_meta.mean_agec_mos,0.0024874,1
mod1Int_meta pval isMeta_meta.test_lang_c,0.2140865,1
mod1Int_meta pval isMeta_meta.method_c,0.0049267,1
